temps_s,temperature_C
0.000,22.89
0.502,22.89
1.003,23.03
1.505,22.96
2.006,22.91
2.507,22.89
3.009,22.91
3.511,22.98
4.011,22.91
4.513,22.91
5.015,22.91
5.516,22.96
6.017,22.98
6.519,22.96
7.020,22.98
7.522,22.96
8.023,23.00
8.524,23.05
9.026,23.00
9.528,23.00
10.028,23.05
10.530,23.07
11.032,23.10
11.533,23.05
12.034,23.05
12.536,23.07
13.037,23.10
13.539,23.23
14.040,23.19
14.542,23.12
15.043,23.14
15.545,23.14
16.046,23.26
16.547,23.26
17.049,23.21
17.551,23.21
18.052,23.21
18.553,23.26
19.055,23.37
19.557,23.30
20.057,23.28
20.559,23.30
21.061,23.35
21.563,23.42
22.063,23.44
22.565,23.37
23.067,23.40
23.568,23.42
24.069,23.46
24.571,23.51
25.073,23.51
25.574,23.49
26.076,23.51
26.577,23.53
27.078,23.65
27.580,23.67
28.082,23.60
28.583,23.62
29.084,23.62
29.586,23.69
30.088,23.76
30.588,23.72
31.090,23.74
31.592,23.76
32.093,23.79
32.594,23.92
33.096,23.90
33.598,23.83
34.099,23.85
34.600,23.88
35.102,23.97
35.603,23.97
36.105,23.95
36.606,23.95
37.108,23.97
37.609,24.04
38.111,24.06
38.612,24.04
39.113,24.06
39.615,24.08
40.117,24.13
40.618,24.27
41.119,24.22
41.621,24.20
42.123,24.22
42.623,24.22
43.125,24.29
43.627,24.31
44.129,24.29
44.629,24.33
45.131,24.33
45.633,24.40
46.134,24.49
46.635,24.52
47.137,24.47
47.639,24.45
48.140,24.47
48.641,24.56
49.143,24.59
49.644,24.59
50.146,24.63
50.647,24.63
51.149,24.65
51.650,24.75
52.152,24.79
52.653,24.72
53.154,24.72
53.656,24.77
54.158,24.79
54.659,24.81
55.160,24.81
55.662,24.86
56.164,24.88
56.664,24.88
57.166,25.02
57.668,25.02
58.170,24.93
58.670,24.97
59.172,25.02
59.674,25.07
60.175,25.09
60.676,25.07
61.178,25.09
61.679,25.11
62.181,25.13
62.682,25.18
63.184,25.16
63.685,25.16
64.187,25.20
64.689,25.20
65.189,25.32
65.691,25.34
66.193,25.29
66.695,25.29
67.195,25.34
67.697,25.41
68.199,25.45
68.700,25.43
69.201,25.41
69.703,25.43
70.205,25.45
70.706,25.54
71.207,25.57
71.709,25.52
72.211,25.52
72.712,25.57
73.213,25.61
73.715,25.73
74.216,25.68
74.718,25.68
75.219,25.66
75.721,25.70
76.222,25.75
76.724,25.79
77.225,25.77
77.726,25.75
78.228,25.82
78.730,25.84
79.231,25.95
79.732,25.91
80.234,25.84
80.736,25.91
81.236,25.93
81.738,25.98
82.240,26.00
82.742,25.98
83.242,25.98
83.744,26.00
84.246,26.02
84.747,26.11
85.248,26.11
85.750,26.09
86.252,26.09
86.753,26.13
87.254,26.20
87.756,26.20
88.257,26.16
88.759,26.20
89.260,26.20
89.762,26.27
90.263,26.29
90.765,26.27
91.266,26.27
91.767,26.29
92.269,26.34
92.771,26.43
93.272,26.45
93.773,26.36
94.275,26.41
94.777,26.41
95.277,26.45
95.779,26.48
96.281,26.50
96.783,26.50
97.283,26.50
97.785,26.52
98.287,26.66
98.788,26.61
99.289,26.59
99.791,26.57
100.293,26.61
100.794,26.63
101.295,26.70
101.797,26.72
102.299,26.66
102.800,26.68
103.301,26.70
103.803,26.72
104.305,26.86
104.806,26.84
105.308,26.77
105.809,26.79
106.311,26.84
106.812,26.84
107.314,26.93
107.815,26.91
108.317,26.88
108.818,26.88
109.320,26.88
109.821,26.93
110.323,27.00
110.824,27.00
111.326,26.95
111.827,26.97
112.329,27.00
112.830,27.02
113.332,27.06
113.833,27.06
114.335,27.06
114.836,27.06
115.338,27.09
115.839,27.09
116.341,27.13
116.842,27.13
117.344,27.13
117.845,27.16
118.347,27.16
118.848,27.20
119.350,27.20
119.851,27.27
120.353,27.27
120.854,27.25
121.356,27.29
121.857,27.27
122.359,27.31
122.860,27.40
123.362,27.43
123.863,27.34
124.365,27.36
124.866,27.36
125.368,27.36
125.869,27.47
126.371,27.47
126.873,27.38
127.374,27.40
127.875,27.38
128.377,27.45
128.879,27.52
129.380,27.54
129.881,27.49
130.383,27.54
130.885,27.52
131.386,27.52
131.887,27.59
132.389,27.63
132.891,27.56
133.392,27.56
133.893,27.59
134.395,27.61
134.897,27.65
135.398,27.65
135.900,27.61
136.401,27.65
136.903,27.63
137.404,27.65
137.906,27.72
138.407,27.72
138.909,27.72
139.410,27.74
139.912,27.72
140.413,27.74
140.915,27.77
141.416,27.83
141.918,27.83
142.419,27.83
142.921,27.81
143.422,27.81
143.924,27.81
144.425,27.95
144.927,27.97
145.428,27.90
145.930,27.88
146.431,27.92
146.933,27.97
147.434,28.04
147.936,28.04
148.437,27.95
148.939,27.95
149.440,27.97
149.942,28.02
150.443,28.15
150.945,28.11
151.446,28.02
151.948,28.04
152.449,28.04
152.951,28.06
153.452,28.20
153.954,28.15
154.455,28.08
154.957,28.11
155.458,28.13
155.960,28.11
156.461,28.24
156.963,28.22
157.464,28.17
157.966,28.17
158.467,28.17
158.969,28.22
159.470,28.29
159.972,28.29
160.473,28.22
160.975,28.24
161.476,28.24
161.978,28.26
162.479,28.31
162.981,28.31
163.482,28.26
163.984,28.31
164.485,28.29
164.987,28.31
165.488,28.33
165.990,28.35
166.492,28.31
166.993,28.35
167.494,28.33
167.996,28.35
168.498,28.35
168.999,28.38
169.500,28.38
170.002,28.38
170.504,28.40
171.005,28.40
171.506,28.47
172.008,28.44
172.510,28.44
173.011,28.47
173.512,28.44
174.014,28.47
174.516,28.51
175.017,28.51
175.518,28.56
176.020,28.54
176.522,28.51
177.023,28.54
177.524,28.58
178.026,28.60
178.528,28.63
179.029,28.56
179.530,28.56
180.032,28.58
180.534,28.63
181.035,28.67
181.536,28.72
182.038,28.60
182.540,28.65
183.041,28.63
183.542,28.67
184.044,28.76
184.546,28.76
185.047,28.72
185.548,28.67
186.050,28.69
186.552,28.72
187.053,28.85
187.554,28.78
188.056,28.72
188.558,28.74
189.059,28.76
189.560,28.78
190.062,28.87
190.564,28.87
191.065,28.78
191.566,28.76
192.068,28.81
192.570,28.81
193.071,28.90
193.572,28.87
194.074,28.81
194.576,28.85
195.077,28.83
195.578,28.87
196.080,28.94
196.582,28.96
197.084,28.87
197.584,28.90
198.086,28.90
198.588,28.92
199.090,28.99
199.590,28.96
200.092,28.90
200.594,28.92
201.096,28.92
201.596,28.96
202.098,29.03
202.600,29.01
203.102,28.96
203.602,28.96
204.104,28.96
204.606,28.96
205.108,29.08
205.608,29.03
206.110,29.01
206.612,29.01
207.114,29.03
207.614,29.01
208.116,29.10
208.618,29.08
209.120,29.03
209.620,29.08
210.122,29.05
210.624,29.05
211.126,29.15
211.626,29.12
212.128,29.10
212.630,29.08
213.132,29.10
213.632,29.12
214.134,29.15
214.636,29.17
215.138,29.12
215.638,29.12
216.140,29.12
216.642,29.12
217.144,29.19
217.644,29.21
218.146,29.17
218.648,29.17
219.150,29.19
219.650,29.17
220.152,29.21
220.654,29.26
221.156,29.24
221.656,29.21
222.158,29.21
222.660,29.24
223.162,29.24
223.662,29.28
224.164,29.30
224.666,29.26
225.168,29.26
225.668,29.24
226.170,29.26
226.672,29.37
227.174,29.35
227.674,29.26
228.176,29.26
228.678,29.28
229.180,29.28
229.681,29.37
230.182,29.35
230.684,29.30
231.186,29.28
231.687,29.30
232.188,29.33
232.690,29.44
233.192,29.42
233.693,29.33
234.194,29.35
234.696,29.37
235.198,29.37
235.699,29.44
236.200,29.42
236.702,29.39
237.204,29.37
237.705,29.39
238.206,29.37
238.708,29.46
239.210,29.42
239.711,29.39
