time,T1,T2,T3
0,21,21,21
3.15544362088405e-30,21.0003084011814,21.0000009151142,21.0000000042088
7.8154129790401e-07,21.0012228172884,21.0000072502122,21.0000000665496
4.68924778742406e-06,21.002727328224,21.0000242334275,21.0000003329546
2.42277802350243e-05,21.0048063562681,21.0000568887363,21.0000010399666
0.000121920442473026,21.0074446590712,21.0001100414859,21.0000025092475
0.000610383753663032,21.010627322789,21.0001883237919,21.0000051422964
0.00305270030961306,21.014339755356,21.0002961798091,21.0000094153715
0.0152642830893632,21.0185676798939,21.0004378708774,21.0000158746082
0.076322196988114,21.0232971282539,21.0006174805476,21.0000251313281
0.381611766481868,21.0285144346893,21.0008389194871,21.0000378575327
0.5,21.0342062296547,21.0011059302698,21.0000547815762
1,21.0403594337321,21.0014220920528,21.0000766840108
1.5,21.0469612516779,21.0017908251416,21.0001043935999
2,21.0539991665911,21.0022153954461,21.0001387834936
2.5,21.061460934199,21.0026989188319,21.0001807675614
3,21.0693345772582,21.0032443653657,21.0002312968764
3.5,21.0776083800687,21.0038545634605,21.0002913563467
4,21.0862708830988,21.0045322039208,21.0003619614896
4.5,21.0953108777186,21.0052798438907,21.0004441553423
5,21.1047174010398,21.0060999107072,21.0005390055067
5.5,21.1144797308597,21.0069947056602,21.0006476013225
6,21.1245873807078,21.0079664076619,21.0007710511648
6.5,21.1350300949916,21.0090170768272,21.0009104798621
7,21.1457978442416,21.0101486579677,21.0010670262304
7.5,21.1568808204515,21.0113629839999,21.0012418407198
8,21.1682694325128,21.0126617792714,21.0014360831699
8.5,21.1799543017423,21.0140466628049,21.0016509206701
9,21.1919262574991,21.0155191514638,21.0018875255209
9.5,21.2041763328911,21.0170806630393,21.0021470732936
10,21.2166957605675,21.0187325192627,21.0024307409844
10.5,21.229475968597,21.0204759487423,21.0027397052596
11,21.2425085764293,21.022312089829,21.0030751407891
11.5,21.2557853909379,21.0242419934099,21.0034382186649
12,21.2692984025436,21.0262666256341,21.0038301049018
12.5,21.283039781416,21.0283868705689,21.0042519590169
13,21.2970018737518,21.0306035327918,21.0047049326859
13.5,21.3111771981288,21.0329173399162,21.0051901684726
14,21.3255584419336,21.0353289450547,21.0057087986299
14.5,21.3401384578614,21.0378389292207,21.0062619439686
15,21.3549102604869,21.0404478036689,21.0068507127927
15.5,21.3698670229049,21.0431560121774,21.0074761998981
16,21.3850020734378,21.0459639332722,21.008139485632
