temps_s,T1_C,T2_C,T3_C,T3_estimT2,T3_estimT1,T3_moy,erreur,commande_u
0.000,29.96,26.81,25.91,25.91,25.91,25.91,2.0944,22.75
0.500,29.82,26.84,25.91,25.91,25.91,25.91,2.0944,22.79
1.000,29.72,26.87,25.91,25.91,25.90,25.91,2.0943,22.83
1.500,29.65,26.91,25.94,25.91,25.90,25.91,2.0942,22.87
2.000,29.65,26.94,25.94,25.91,25.90,25.91,2.0938,22.91
2.500,29.68,26.94,25.98,25.91,25.90,25.91,2.0933,22.94
3.000,29.72,26.97,25.98,25.91,25.90,25.91,2.0926,22.98
3.500,29.79,27.00,25.98,25.92,25.90,25.91,2.0914,23.01
4.000,29.89,27.03,26.01,25.92,25.90,25.91,2.0898,23.03
4.500,29.96,27.03,26.01,25.93,25.90,25.91,2.0879,23.05
5.000,30.06,27.07,26.01,25.93,25.90,25.91,2.0857,23.07
5.500,30.13,27.07,26.05,25.93,25.90,25.92,2.0831,23.08
6.000,30.24,27.10,26.08,25.94,25.90,25.92,2.0802,23.09
6.500,30.34,27.10,26.08,25.94,25.90,25.92,2.0770,23.10
7.000,30.41,27.13,26.08,25.95,25.91,25.93,2.0734,23.10
7.500,30.51,27.13,26.12,25.95,25.91,25.93,2.0696,23.10
8.000,30.58,27.16,26.12,25.96,25.91,25.93,2.0655,23.10
8.500,30.68,27.16,26.15,25.96,25.91,25.94,2.0610,23.09
9.001,30.75,27.20,26.15,25.97,25.92,25.94,2.0563,23.08
9.501,30.82,27.20,26.18,25.97,25.92,25.95,2.0514,23.07
10.001,30.89,27.23,26.18,25.98,25.93,25.95,2.0462,23.05
10.501,30.96,27.23,26.22,25.99,25.93,25.96,2.0407,23.04
11.001,31.03,27.26,26.22,25.99,25.94,25.96,2.0350,23.01
11.501,31.10,27.26,26.25,26.00,25.94,25.97,2.0291,22.99
12.001,31.17,27.29,26.25,26.01,25.95,25.98,2.0230,22.96
12.501,31.24,27.29,26.29,26.01,25.95,25.98,2.0166,22.94
13.001,31.27,27.32,26.29,26.02,25.96,25.99,2.0100,22.91
13.501,31.34,27.32,26.32,26.03,25.97,26.00,2.0033,22.87
14.001,31.38,27.36,26.32,26.03,25.97,26.00,1.9964,22.84
14.501,31.44,27.39,26.36,26.04,25.98,26.01,1.9891,22.80
15.001,31.48,27.39,26.36,26.05,25.99,26.02,1.9817,22.76
15.501,31.51,27.42,26.39,26.06,25.99,26.03,1.9742,22.72
16.001,31.58,27.42,26.39,26.07,26.00,26.03,1.9665,22.67
16.501,31.62,27.45,26.43,26.08,26.01,26.04,1.9586,22.63
17.001,31.65,27.49,26.43,26.08,26.02,26.05,1.9505,22.58
17.501,31.69,27.52,26.46,26.09,26.02,26.06,1.9421,22.52
18.001,31.72,27.52,26.46,26.10,26.03,26.07,1.9335,22.47
18.501,31.76,27.55,26.50,26.11,26.04,26.08,1.9249,22.42
19.001,31.79,27.58,26.50,26.12,26.05,26.08,1.9160,22.36
19.501,31.82,27.58,26.53,26.13,26.05,26.09,1.9071,22.30
20.001,31.86,27.61,26.53,26.14,26.06,26.10,1.8980,22.24
20.501,31.89,27.65,26.57,26.15,26.07,26.11,1.8886,22.17
21.001,31.96,27.65,26.57,26.16,26.08,26.12,1.8791,22.11
21.501,31.96,27.68,26.60,26.17,26.09,26.13,1.8696,22.04
22.001,32.00,27.71,26.64,26.18,26.10,26.14,1.8598,21.97
22.501,32.03,27.74,26.64,26.19,26.11,26.15,1.8498,21.90
23.001,32.07,27.74,26.67,26.21,26.11,26.16,1.8397,21.83
23.501,32.10,27.78,26.67,26.22,26.12,26.17,1.8295,21.76
24.001,32.14,27.81,26.71,26.23,26.13,26.18,1.8191,21.68
24.501,32.14,27.81,26.71,26.24,26.14,26.19,1.8086,21.60
25.001,32.17,27.84,26.74,26.25,26.15,26.20,1.7982,21.52
25.501,32.20,27.87,26.74,26.26,26.16,26.21,1.7874,21.44
26.001,32.20,27.87,26.78,26.28,26.17,26.22,1.7767,21.36
26.501,32.24,27.90,26.78,26.29,26.18,26.23,1.7659,21.28
27.001,32.24,27.94,26.81,26.30,26.19,26.25,1.7550,21.20
27.501,32.27,27.97,26.81,26.32,26.20,26.26,1.7438,21.11
28.001,32.27,27.97,26.85,26.33,26.21,26.27,1.7327,21.03
28.501,32.27,28.00,26.88,26.34,26.22,26.28,1.7215,20.94
29.001,32.31,28.03,26.88,26.35,26.22,26.29,1.7102,20.85
29.501,32.31,28.03,26.92,26.37,26.23,26.30,1.6989,20.76
30.001,32.34,28.06,26.92,26.38,26.24,26.31,1.6875,20.67
30.501,32.38,28.10,26.95,26.40,26.25,26.32,1.6759,20.58
31.001,32.38,28.10,26.95,26.41,26.26,26.34,1.6644,20.49
31.501,32.41,28.13,26.99,26.42,26.27,26.35,1.6528,20.40
32.001,32.41,28.16,26.99,26.44,26.28,26.36,1.6410,20.30
32.501,32.41,28.16,27.02,26.45,26.29,26.37,1.6293,20.21
33.001,32.45,28.19,27.02,26.47,26.30,26.38,1.6175,20.11
33.501,32.45,28.23,27.06,26.48,26.31,26.39,1.6056,20.01
34.001,32.45,28.23,27.06,26.49,26.32,26.41,1.5937,19.92
34.501,32.45,28.26,27.09,26.51,26.33,26.42,1.5819,19.82
35.001,32.45,28.26,27.09,26.52,26.34,26.43,1.5701,19.72
35.501,32.48,28.29,27.13,26.54,26.35,26.44,1.5583,19.63
36.001,32.48,28.32,27.16,26.55,26.35,26.45,1.5463,19.53
36.501,32.52,28.32,27.16,26.57,26.36,26.47,1.5343,19.43
37.001,32.52,28.35,27.19,26.58,26.37,26.48,1.5223,19.33
37.501,32.52,28.35,27.19,26.60,26.38,26.49,1.5103,19.23
38.001,32.52,28.39,27.23,26.61,26.39,26.50,1.4984,19.13
38.501,32.52,28.42,27.26,26.63,26.40,26.51,1.4864,19.03
39.001,32.55,28.42,27.26,26.64,26.41,26.53,1.4743,18.93
39.501,32.55,28.45,27.30,26.66,26.42,26.54,1.4623,18.83
40.001,32.55,28.48,27.30,26.67,26.43,26.55,1.4501,18.72
40.501,32.59,28.48,27.33,26.69,26.44,26.56,1.4380,18.62
41.001,32.59,28.51,27.37,26.70,26.45,26.57,1.4258,18.52
41.501,32.59,28.51,27.37,26.72,26.45,26.59,1.4137,18.42
42.001,32.59,28.55,27.40,26.73,26.46,26.60,1.4016,18.31
42.501,32.59,28.55,27.40,26.75,26.47,26.61,1.3895,18.21
43.001,32.59,28.58,27.44,26.76,26.48,26.62,1.3775,18.11
43.501,32.59,28.58,27.44,26.78,26.49,26.63,1.3656,18.00
44.001,32.59,28.61,27.47,26.79,26.50,26.65,1.3536,17.90
44.501,32.59,28.61,27.47,26.81,26.51,26.66,1.3417,17.80
45.001,32.59,28.64,27.51,26.82,26.52,26.67,1.3299,17.70
45.501,32.55,28.64,27.54,26.84,26.52,26.68,1.3181,17.60
46.001,32.55,28.64,27.54,26.86,26.53,26.69,1.3066,17.50
46.501,32.55,28.67,27.54,26.87,26.54,26.70,1.2950,17.40
47.001,32.55,28.67,27.58,26.88,26.55,26.72,1.2835,17.30
47.501,32.55,28.71,27.58,26.90,26.56,26.73,1.2721,17.20
48.001,32.52,28.71,27.61,26.91,26.56,26.74,1.2607,17.10
48.501,32.52,28.74,27.61,26.93,26.57,26.75,1.2494,17.01
49.001,32.52,28.74,27.65,26.94,26.58,26.76,1.2381,16.91
49.501,32.52,28.74,27.65,26.96,26.59,26.77,1.2270,16.81
50.001,32.48,28.77,27.68,26.97,26.59,26.78,1.2160,16.72
50.501,32.48,28.77,27.68,26.99,26.60,26.79,1.2050,16.62
51.001,32.48,28.80,27.72,27.00,26.61,26.81,1.1941,16.53
51.501,32.48,28.80,27.72,27.02,26.62,26.82,1.1832,16.43
52.001,32.45,28.84,27.75,27.03,26.62,26.83,1.1723,16.34
52.501,32.45,28.84,27.75,27.05,26.63,26.84,1.1615,16.24
53.001,32.45,28.84,27.79,27.06,26.64,26.85,1.1509,16.15
53.501,32.41,28.87,27.79,27.08,26.64,26.86,1.1404,16.06
54.001,32.41,28.87,27.82,27.09,26.65,26.87,1.1299,15.97
54.501,32.41,28.87,27.85,27.10,26.66,26.88,1.1196,15.88
55.001,32.41,28.90,27.85,27.12,26.66,26.89,1.1093,15.79
55.501,32.38,28.90,27.85,27.13,26.67,26.90,1.0991,15.70
56.001,32.38,28.90,27.89,27.15,26.68,26.91,1.0890,15.62
56.501,32.34,28.90,27.92,27.16,26.68,26.92,1.0792,15.53
57.001,32.34,28.93,27.92,27.17,26.69,26.93,1.0695,15.45
57.501,32.34,28.93,27.92,27.19,26.69,26.94,1.0597,15.36
58.001,32.31,28.93,27.96,27.20,26.70,26.95,1.0501,15.28
58.501,32.31,28.96,27.96,27.21,26.71,26.96,1.0406,15.20
59.001,32.27,28.96,27.99,27.23,26.71,26.97,1.0312,15.11
59.501,32.27,28.96,27.99,27.24,26.72,26.98,1.0219,15.03
60.001,32.24,28.96,28.03,27.25,26.72,26.99,1.0128,14.96
60.501,32.24,28.96,28.03,27.26,26.73,27.00,1.0039,14.88
61.001,32.24,28.96,28.03,27.28,26.73,27.00,0.9952,14.81
61.501,32.24,29.00,28.06,27.29,26.74,27.01,0.9865,14.73
62.001,32.20,29.00,28.06,27.30,26.74,27.02,0.9778,14.66
62.501,32.20,29.00,28.10,27.31,26.75,27.03,0.9692,14.58
63.001,32.20,29.00,28.10,27.33,26.75,27.04,0.9608,14.51
63.501,32.17,29.00,28.13,27.34,26.76,27.05,0.9526,14.44
64.001,32.17,29.03,28.13,27.35,26.76,27.06,0.9445,14.37
64.501,32.14,29.03,28.17,27.36,26.77,27.06,0.9363,14.30
65.001,32.14,29.03,28.17,27.37,26.77,27.07,0.9284,14.23
65.501,32.10,29.03,28.17,27.38,26.78,27.08,0.9206,14.17
66.001,32.10,29.06,28.20,27.39,26.78,27.09,0.9128,14.10
66.501,32.10,29.06,28.20,27.41,26.78,27.09,0.9050,14.04
67.001,32.07,29.06,28.24,27.42,26.79,27.10,0.8974,13.97
67.501,32.07,29.06,28.24,27.43,26.79,27.11,0.8900,13.91
68.001,32.03,29.06,28.27,27.44,26.80,27.12,0.8827,13.85
68.501,32.03,29.09,28.27,27.45,26.80,27.12,0.8754,13.79
69.001,32.03,29.09,28.27,27.46,26.80,27.13,0.8681,13.72
69.501,32.00,29.09,28.27,27.47,26.81,27.14,0.8610,13.66
70.001,32.00,29.09,28.31,27.48,26.81,27.15,0.8540,13.61
70.501,31.96,29.09,28.31,27.49,26.81,27.15,0.8473,13.55
71.001,31.96,29.09,28.31,27.50,26.82,27.16,0.8406,13.49
71.501,31.93,29.09,28.34,27.51,26.82,27.17,0.8341,13.44
72.001,31.93,29.09,28.34,27.52,26.82,27.17,0.8278,13.39
72.501,31.89,29.09,28.34,27.53,26.83,27.18,0.8216,13.34
73.001,31.86,29.12,28.38,27.54,26.83,27.18,0.8155,13.29
73.501,31.86,29.12,28.38,27.55,26.83,27.19,0.8093,13.24
74.001,31.82,29.12,28.38,27.56,26.83,27.20,0.8033,13.19
74.501,31.82,29.12,28.38,27.57,26.84,27.20,0.7975,13.14
75.001,31.82,29.12,28.41,27.58,26.84,27.21,0.7917,13.09
75.501,31.79,29.12,28.41,27.59,26.84,27.21,0.7861,13.05
76.001,31.79,29.12,28.41,27.60,26.84,27.22,0.7807,13.01
76.501,31.79,29.12,28.44,27.61,26.84,27.22,0.7753,12.96
77.001,31.79,29.12,28.44,27.61,26.85,27.23,0.7700,12.92
77.501,31.79,29.16,28.44,27.62,26.85,27.24,0.7647,12.88
78.001,31.79,29.12,28.48,27.63,26.85,27.24,0.7595,12.84
78.501,31.76,29.16,28.48,27.64,26.85,27.25,0.7544,12.80
79.001,31.76,29.16,28.48,27.65,26.85,27.25,0.7492,12.76
79.501,31.76,29.16,28.48,27.66,26.86,27.26,0.7442,12.72
80.001,31.72,29.16,28.51,27.66,26.86,27.26,0.7393,12.68
80.501,31.72,29.16,28.51,27.67,26.86,27.27,0.7345,12.64
81.001,31.69,29.16,28.51,27.68,26.86,27.27,0.7299,12.61
81.501,31.69,29.16,28.51,27.69,26.86,27.27,0.7254,12.57
82.001,31.65,29.16,28.55,27.69,26.86,27.28,0.7210,12.54
82.501,31.65,29.16,28.55,27.70,26.87,27.28,0.7167,12.51
83.001,31.62,29.16,28.55,27.71,26.87,27.29,0.7126,12.48
83.501,31.62,29.16,28.55,27.71,26.87,27.29,0.7085,12.45
84.001,31.62,29.16,28.58,27.72,26.87,27.30,0.7046,12.42
84.501,31.58,29.16,28.58,27.73,26.87,27.30,0.7007,12.39
85.001,31.58,29.16,28.58,27.73,26.87,27.30,0.6970,12.36
85.501,31.55,29.16,28.58,27.74,26.87,27.31,0.6934,12.34
86.001,31.55,29.16,28.62,27.75,26.87,27.31,0.6899,12.31
86.501,31.55,29.16,28.62,27.75,26.87,27.31,0.6864,12.29
87.001,31.51,29.16,28.62,27.76,26.87,27.32,0.6831,12.27
87.501,31.48,29.16,28.62,27.77,26.87,27.32,0.6799,12.25
88.001,31.48,29.16,28.62,27.77,26.87,27.32,0.6768,12.23
88.501,31.44,29.16,28.62,27.78,26.88,27.33,0.6738,12.21
89.001,31.44,29.16,28.62,27.78,26.88,27.33,0.6709,12.19
89.501,31.44,29.16,28.65,27.79,26.88,27.33,0.6681,12.17
90.001,31.44,29.16,28.65,27.79,26.88,27.33,0.6653,12.15
90.501,31.44,29.16,28.65,27.80,26.88,27.34,0.6625,12.14
91.001,31.41,29.16,28.65,27.80,26.88,27.34,0.6599,12.12
91.501,31.41,29.16,28.65,27.81,26.88,27.34,0.6574,12.11
92.001,31.41,29.16,28.65,27.81,26.88,27.35,0.6549,12.09
92.501,31.41,29.16,28.69,27.82,26.88,27.35,0.6525,12.08
93.001,31.41,29.16,28.69,27.82,26.88,27.35,0.6501,12.07
93.501,31.41,29.12,28.69,27.83,26.88,27.35,0.6479,12.06
94.001,31.41,29.12,28.69,27.83,26.88,27.35,0.6459,12.05
94.501,31.41,29.12,28.69,27.84,26.88,27.36,0.6439,12.04
95.001,31.41,29.16,28.69,27.84,26.88,27.36,0.6418,12.03
95.501,31.41,29.16,28.69,27.84,26.88,27.36,0.6397,12.02
96.001,31.41,29.16,28.69,27.85,26.88,27.36,0.6375,12.01
96.501,31.41,29.16,28.72,27.85,26.88,27.36,0.6354,12.00
97.001,31.41,29.16,28.72,27.86,26.88,27.37,0.6334,11.99
97.501,31.38,29.16,28.72,27.86,26.88,27.37,0.6314,11.98
98.001,31.38,29.16,28.72,27.86,26.88,27.37,0.6295,11.97
98.501,31.38,29.16,28.72,27.87,26.88,27.37,0.6277,11.97
99.001,31.38,29.16,28.72,27.87,26.88,27.37,0.6259,11.96
99.501,31.34,29.12,28.72,27.88,26.88,27.38,0.6243,11.95
100.001,31.34,29.16,28.72,27.88,26.88,27.38,0.6228,11.95
100.501,31.34,29.16,28.72,27.88,26.88,27.38,0.6212,11.95
101.001,31.34,29.16,28.76,27.89,26.88,27.38,0.6196,11.94
101.501,31.31,29.16,28.76,27.89,26.87,27.38,0.6181,11.94
102.001,31.31,29.12,28.76,27.89,26.87,27.38,0.6168,11.93
102.501,31.31,29.12,28.76,27.89,26.87,27.38,0.6156,11.94
103.001,31.27,29.12,28.76,27.90,26.87,27.39,0.6146,11.94
103.501,31.27,29.12,28.76,27.90,26.87,27.39,0.6136,11.94
104.001,31.27,29.12,28.76,27.90,26.87,27.39,0.6127,11.94
104.501,31.27,29.12,28.76,27.90,26.87,27.39,0.6117,11.94
105.001,31.24,29.12,28.76,27.91,26.87,27.39,0.6108,11.94
105.501,31.24,29.12,28.76,27.91,26.87,27.39,0.6100,11.95
106.001,31.24,29.12,28.76,27.91,26.87,27.39,0.6092,11.95
106.501,31.20,29.12,28.76,27.91,26.87,27.39,0.6085,11.96
107.001,31.20,29.12,28.76,27.92,26.87,27.39,0.6079,11.96
107.501,31.20,29.12,28.76,27.92,26.87,27.39,0.6072,11.97
108.001,31.17,29.12,28.76,27.92,26.87,27.39,0.6066,11.97
108.501,31.17,29.12,28.76,27.92,26.86,27.39,0.6061,11.98
109.001,31.17,29.12,28.76,27.93,26.86,27.39,0.6056,11.98
109.501,31.17,29.12,28.76,27.93,26.86,27.39,0.6051,11.99
110.001,31.17,29.12,28.76,27.93,26.86,27.40,0.6046,12.00
110.501,31.13,29.12,28.76,27.93,26.86,27.40,0.6042,12.01
111.001,31.13,29.12,28.76,27.93,26.86,27.40,0.6039,12.01
111.501,31.13,29.09,28.76,27.93,26.86,27.40,0.6037,12.02
112.001,31.13,29.09,28.76,27.94,26.86,27.40,0.6036,12.04
112.501,31.13,29.09,28.79,27.94,26.86,27.40,0.6036,12.05
113.001,31.13,29.09,28.79,27.94,26.85,27.40,0.6036,12.06
113.501,31.13,29.09,28.79,27.94,26.85,27.40,0.6036,12.07
114.001,31.13,29.09,28.79,27.94,26.85,27.40,0.6035,12.08
114.501,31.13,29.09,28.79,27.94,26.85,27.40,0.6035,12.10
115.001,31.13,29.09,28.79,27.94,26.85,27.40,0.6036,12.11
115.501,31.13,29.09,28.79,27.94,26.85,27.40,0.6036,12.12
116.001,31.13,29.09,28.79,27.94,26.85,27.40,0.6036,12.13
116.501,31.13,29.09,28.79,27.95,26.85,27.40,0.6036,12.14
117.001,31.13,29.09,28.79,27.95,26.85,27.40,0.6036,12.16
117.501,31.13,29.09,28.79,27.95,26.84,27.40,0.6037,12.17
118.001,31.13,29.09,28.79,27.95,26.84,27.40,0.6037,12.18
118.501,31.17,29.09,28.79,27.95,26.84,27.40,0.6037,12.19
119.001,31.17,29.09,28.79,27.95,26.84,27.40,0.6037,12.21
