temps_s,T1_C,T2_C,T3_C,T3_estimT2,T3_estimT1,T3_moy,erreur,commande_u
0.000,19.04,19.81,20.08,20.08,20.08,20.08,9.9234,75.00
0.500,19.08,19.81,20.08,20.08,20.08,20.08,9.9234,75.00
1.000,19.15,19.81,20.08,20.08,20.08,20.08,9.9232,75.00
1.500,19.37,19.84,20.08,20.08,20.08,20.08,9.9225,75.00
2.000,19.78,19.84,20.04,20.08,20.08,20.08,9.9209,75.00
2.500,20.32,19.81,20.04,20.08,20.09,20.08,9.9183,75.00
3.000,20.97,19.84,20.04,20.08,20.09,20.09,9.9143,75.00
3.500,21.69,19.84,20.04,20.08,20.10,20.09,9.9085,75.00
4.000,22.41,19.84,20.04,20.08,20.12,20.10,9.9010,75.00
4.500,23.15,19.88,20.04,20.08,20.14,20.11,9.8917,75.00
5.000,23.90,19.88,20.04,20.08,20.16,20.12,9.8804,75.00
