temps_s,T1_C,T2_C,T3_C
99.652,41.69,32.87,30.17
100.155,41.72,32.90,30.21
100.659,41.76,32.93,30.24
101.161,41.79,32.97,30.28
101.665,41.83,33.00,30.31
102.169,41.87,33.06,30.38
102.672,41.90,33.09,30.42
103.176,41.94,33.13,30.45
103.678,41.97,33.16,30.49
104.182,42.01,33.19,30.52
104.685,42.05,33.22,30.55
105.189,42.05,33.25,30.59
105.692,42.08,33.29,30.62
106.195,42.12,33.32,30.69
106.699,42.16,33.35,30.73
107.202,42.19,33.38,30.76
107.706,42.23,33.41,30.80
108.209,42.26,33.48,30.83
108.712,42.26,33.51,30.87
109.215,42.30,33.54,30.90
109.719,42.34,33.57,30.93
110.222,42.37,33.61,31.00
110.725,42.41,33.64,31.04
111.229,42.45,33.67,31.07
111.732,42.48,33.70,31.11
112.236,42.52,33.74,31.14
112.739,42.52,33.80,31.18
113.242,42.59,33.83,31.21
113.745,42.63,33.86,31.25
114.249,42.66,33.90,31.28
114.752,42.70,33.93,31.31
115.256,42.70,33.93,31.35
115.758,42.74,33.96,31.38
116.262,42.77,33.99,31.42
116.766,42.77,34.02,31.45
117.269,42.81,34.06,31.49
117.773,42.85,34.09,31.52
118.275,42.85,34.12,31.56
118.779,42.88,34.15,31.59
119.282,42.88,34.18,31.63
119.786,42.92,34.22,31.66
120.289,42.95,34.25,31.70
120.792,42.99,34.28,31.73
121.296,43.03,34.31,31.76
121.799,43.06,34.35,31.80
122.303,43.06,34.38,31.83
122.806,43.10,34.41,31.87
123.309,43.10,34.44,31.90
123.812,43.14,34.44,31.94
124.316,43.17,34.47,31.97
124.819,43.21,34.51,32.01
125.323,43.21,34.54,32.04
125.826,43.25,34.57,32.08
126.329,43.28,34.60,32.11
126.833,43.28,34.63,32.14
127.336,43.32,34.67,32.18
127.840,43.36,34.67,32.21
128.342,43.39,34.70,32.25
128.846,43.39,34.73,32.28
129.350,43.43,34.76,32.32
129.853,43.47,34.80,32.35
130.357,43.50,34.83,32.39
130.859,43.54,34.86,32.42
131.363,43.58,34.89,32.46
131.866,43.58,34.92,32.49
132.370,43.61,34.96,32.52
132.873,43.65,34.99,32.56
133.376,43.65,35.02,32.59
133.880,43.69,35.05,32.63
134.383,43.72,35.09,32.66
134.887,43.72,35.12,32.70
135.390,43.76,35.12,32.70
135.893,43.80,35.15,32.73
136.396,43.83,35.18,32.80
136.900,43.83,35.21,32.80
137.403,43.87,35.25,32.84
137.907,43.87,35.28,32.87
138.409,43.91,35.31,32.91
138.913,43.94,35.31,32.91
139.417,43.94,35.34,32.94
139.920,43.98,35.38,32.97
140.424,44.02,35.41,33.01
140.926,44.02,35.41,33.04
141.430,44.09,35.44,33.08
141.933,44.09,35.47,33.11
142.437,44.09,35.50,33.15
142.940,44.13,35.54,33.18
143.443,44.13,35.54,33.18
143.947,44.16,35.57,33.22
144.450,44.16,35.60,33.25
144.954,44.20,35.60,33.29
145.457,44.24,35.63,33.32
145.960,44.27,35.67,33.32
146.463,44.31,35.70,33.36
146.967,44.31,35.70,33.39
147.470,44.35,35.73,33.42
147.973,44.39,35.73,33.46
148.477,44.39,35.76,33.46
148.980,44.42,35.80,33.49
149.484,44.42,35.83,33.53
149.987,44.42,35.83,33.56
150.490,44.46,35.86,33.60
150.993,44.46,35.86,33.63
151.497,44.50,35.89,33.63
152.000,44.50,35.92,33.67
152.504,44.53,35.96,33.70
153.006,44.57,35.99,33.70
153.510,44.57,35.99,33.74
154.014,44.61,36.02,33.77
154.517,44.61,36.05,33.81
155.021,44.64,36.05,33.84
155.523,44.68,36.09,33.84
156.027,44.72,36.12,33.88
156.530,44.75,36.15,33.91
157.034,44.75,36.15,33.94
157.537,44.75,36.18,34.01
158.040,44.79,36.18,34.01
158.543,44.83,36.22,34.05
159.047,44.83,36.25,34.08
159.551,44.87,36.28,34.12
160.054,44.90,36.31,34.12
160.557,44.94,36.34,34.15
161.060,44.94,36.34,34.19
161.564,44.94,36.38,34.22
162.067,44.94,36.41,34.22
162.571,44.98,36.44,34.26
163.073,44.98,36.47,34.29
163.577,45.01,36.47,34.33
164.081,45.05,36.51,34.36
164.584,45.09,36.54,34.36
165.088,45.09,36.57,34.40
