73.501,19.66,20.25,20.11,20.44,19.86,20.15,2.8484,255.00
850.52
-1690.5
840
74.001,19.66,20.28,20.15,20.45,19.87,20.16,2.8381,21.25
850.52
-1690.5
840
74.501,19.70,20.28,20.15,20.47,19.88,20.17,2.8277,21.17
850.52
-1690.5
840
75.001,19.88,20.28,20.19,20.48,19.89,20.18,2.8172,21.03
850.52
-1690.5
840
75.501,20.06,20.28,20.19,20.49,19.89,20.19,2.8064,20.75
850.52
-1690.5
840
76.001,20.29,20.32,20.19,20.51,19.90,20.20,2.7952,20.29
850.52
-1690.5
840
76.501,20.46,20.32,20.22,20.52,19.91,20.22,2.7834,19.82
850.52
-1690.5
840
77.001,20.69,20.32,20.22,20.53,19.93,20.23,2.7714,19.49
850.52
-1690.5
840
77.501,20.91,20.32,20.22,20.54,19.94,20.24,2.7590,19.11
850.52
-1690.5
840
78.001,21.09,20.35,20.26,20.56,19.95,20.25,2.7461,18.64
850.52
-1690.5
840
78.501,21.27,20.35,20.26,20.57,19.97,20.27,2.7327,18.20
850.52
-1690.5
840
79.001,21.49,20.39,20.26,20.58,19.98,20.28,2.7190,17.73
850.52
-1690.5
840
79.501,21.63,20.39,20.29,20.59,20.00,20.30,2.7048,17.30
850.52
-1690.5
840
80.001,21.76,20.42,20.29,20.61,20.01,20.31,2.6903,16.96
850.52
-1690.5
840
80.501,21.90,20.42,20.29,20.62,20.03,20.32,2.6755,16.62
850.52
-1690.5
840
81.001,22.03,20.45,20.29,20.63,20.05,20.34,2.6604,16.27
850.52
-1690.5
840
81.501,22.12,20.49,20.29,20.65,20.07,20.36,2.6449,15.84
850.52
-1690.5
840
82.001,22.25,20.49,20.29,20.66,20.08,20.37,2.6292,15.55
850.52
-1690.5
840
82.501,22.34,20.52,20.33,20.67,20.10,20.39,2.6133,15.25
850.52
-1690.5
840
83.001,22.43,20.52,20.37,20.68,20.12,20.40,2.5972,15.00
850.52
-1690.5
840
83.501,22.52,20.55,20.37,20.70,20.14,20.42,2.5809,14.74
850.52
-1690.5
840
84.001,22.61,20.59,20.37,20.71,20.16,20.44,2.5643,14.35
850.52
-1690.5
840
84.501,22.70,20.62,20.37,20.73,20.18,20.45,2.5474,13.97
850.52
-1690.5
840
85.001,22.75,20.66,20.37,20.74,20.20,20.47,2.5303,13.63
850.52
-1690.5
840
85.501,22.84,20.72,20.40,20.76,20.22,20.49,2.5127,13.16
850.52
-1690.5
840
86.001,22.88,20.72,20.40,20.77,20.24,20.51,2.4949,12.82
850.52
-1690.5
840
86.501,22.93,20.76,20.40,20.79,20.26,20.52,2.4770,12.66
850.52
-1690.5
840
87.001,23.02,20.79,20.44,20.80,20.28,20.54,2.4589,12.32
850.52
-1690.5
840
87.501,23.02,20.82,20.44,20.82,20.30,20.56,2.4406,12.03
850.52
-1690.5
840
88.001,23.10,20.86,20.48,20.83,20.32,20.58,2.4221,11.74
850.52
-1690.5
840
88.501,23.15,20.89,20.48,20.85,20.34,20.60,2.4034,11.40
850.52
-1690.5
840
89.001,23.15,20.93,20.48,20.87,20.36,20.62,2.3846,11.15
850.52
-1690.5
840
89.501,23.19,20.96,20.51,20.88,20.38,20.63,2.3657,10.91
850.52
-1690.5
840
90.001,23.24,20.99,20.51,20.90,20.41,20.65,2.3465,10.62
850.52
-1690.5
840
90.501,23.28,21.03,20.51,20.92,20.43,20.67,2.3273,10.33
850.52
-1690.5
840
91.001,23.28,21.06,20.51,20.94,20.45,20.69,2.3079,10.09
850.52
-1690.5
840
91.501,23.33,21.09,20.51,20.95,20.47,20.71,2.2884,9.85
850.52
-1690.5
840
92.001,23.37,21.13,20.55,20.97,20.49,20.73,2.2687,9.56
850.52
-1690.5
840
92.501,23.37,21.16,20.55,20.99,20.51,20.75,2.2490,9.32
850.52
-1690.5
840
93.001,23.42,21.19,20.58,21.01,20.53,20.77,2.2291,9.08
850.52
-1690.5
840
93.501,23.42,21.23,20.62,21.03,20.55,20.79,2.2092,8.84
850.52
-1690.5
840
94.001,23.46,21.26,20.62,21.05,20.57,20.81,2.1892,8.60
850.52
-1690.5
840
94.501,23.46,21.29,20.62,21.07,20.59,20.83,2.1690,8.36
850.52
-1690.5
840
95.001,23.46,21.33,20.62,21.09,20.61,20.85,2.1489,8.17
850.52
-1690.5
840
95.501,23.46,21.33,20.69,21.11,20.63,20.87,2.1288,8.11
850.52
-1690.5
840
96.001,23.46,21.40,20.69,21.13,20.65,20.89,2.1087,7.92
850.52
-1690.5
840
96.501,23.51,21.40,20.73,21.15,20.67,20.91,2.0886,7.68
850.52
-1690.5
840
97.001,23.51,21.43,20.73,21.17,20.69,20.93,2.0685,7.58
