Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
42.78040909767151,23.0,0.0,25.79,24.14,23.62,,23.62,10.0
43.28047156333923,23.0,0.0,25.79,24.14,23.62,,23.62,10.0
43.77862501144409,23.0,0.0,25.79,24.18,23.62,,23.62,10.0
44.28164219856262,23.0,0.0,25.83,24.18,23.62,,23.62,10.0
44.7828323841095,23.0,0.0,25.83,24.18,23.66,,23.66,10.0
45.284045457839966,23.0,0.0,25.83,24.21,23.66,,23.66,10.0
45.78639483451843,23.0,0.0,25.88,24.21,23.69,,23.69,10.0
46.28693699836731,23.0,0.0,25.88,24.24,23.69,,23.69,10.0
46.78659772872925,23.0,0.0,25.92,24.24,23.69,,23.69,10.0
47.29562544822693,23.0,0.0,25.92,24.24,23.73,,23.73,10.0
47.79426574707031,23.0,0.0,25.92,24.27,23.73,,23.73,10.0
48.2926824092865,23.0,0.0,25.92,24.27,23.73,,23.73,10.0
48.79763102531433,23.0,0.0,25.97,24.31,23.76,,23.76,10.0
49.30397391319275,23.0,0.0,25.97,24.31,23.76,,23.76,10.0
49.81431794166565,23.0,0.0,25.97,24.31,23.76,,23.76,10.0
50.301517486572266,23.0,0.0,26.01,24.34,23.8,,23.8,10.0
50.8135826587677,23.0,0.0,26.01,24.34,23.8,,23.8,10.0
51.30032920837402,23.0,0.0,26.01,24.37,23.8,,23.8,10.0
51.819063663482666,23.0,0.0,26.01,24.37,23.83,,23.83,10.0
52.303898096084595,23.0,0.0,26.06,24.37,23.83,,23.83,10.0
52.81679940223694,23.0,0.0,26.06,24.4,23.83,,23.83,10.0
53.32158160209656,23.0,0.0,26.06,24.4,23.83,,23.83,10.0
53.81349778175354,23.0,0.0,26.06,24.44,23.87,,23.87,10.0
54.31908655166626,23.0,0.0,26.1,24.44,23.87,,23.87,10.0
54.820061922073364,23.0,0.0,26.1,24.44,23.87,,23.87,10.0
55.319101333618164,23.0,0.0,26.1,24.47,23.9,,23.9,10.0
55.82779884338379,23.0,0.0,26.15,24.47,23.9,,23.9,10.0
56.31786751747131,23.0,0.0,26.15,24.47,23.9,,23.9,10.0
56.81982922554016,23.0,0.0,26.15,24.47,23.94,,23.94,10.0
57.31982660293579,23.0,0.0,26.15,24.5,23.94,,23.94,10.0
57.830363750457764,23.0,0.0,26.19,24.5,23.94,,23.94,10.0
58.322283029556274,23.0,0.0,26.19,24.5,23.98,,23.98,10.0
58.829933881759644,23.0,0.0,26.19,24.54,23.98,,23.98,10.0
59.321040630340576,23.0,0.0,26.19,24.54,23.98,,23.98,10.0
59.845184326171875,23.0,0.0,26.24,24.57,24.01,,24.01,10.0
60.33619832992554,23.0,0.0,26.24,24.57,24.01,,24.01,10.0
60.83507704734802,23.0,0.0,26.24,24.6,24.01,,24.01,10.0
61.33130240440369,23.0,0.0,26.28,24.6,24.01,,24.01,10.0
61.83752107620239,23.0,0.0,26.28,24.6,24.05,,24.05,10.0
62.34275507926941,23.0,0.0,26.28,24.6,24.05,,24.05,10.0
62.83849906921387,23.0,0.0,26.28,24.63,24.08,,24.08,10.0
63.345139503479004,23.0,0.0,26.28,24.63,24.08,,24.08,10.0
63.8515408039093,23.0,0.0,26.33,24.63,24.08,,24.08,10.0
64.34557056427002,23.0,0.0,26.33,24.67,24.08,,24.08,10.0
64.84454727172852,23.0,0.0,26.33,24.67,24.12,,24.12,10.0
65.33118414878845,23.0,0.0,26.33,24.7,24.12,,24.12,10.0
65.83719754219055,23.0,0.0,26.37,24.7,24.15,,24.15,10.0
66.34449100494385,23.0,0.0,26.37,24.7,24.15,,24.15,10.0
66.85413479804993,23.0,0.0,26.37,24.7,24.15,,24.15,10.0
67.34466576576233,23.0,0.0,26.37,24.73,24.15,,24.15,10.0
67.8508710861206,23.0,0.0,26.42,24.73,24.19,,24.19,10.0
68.36244916915894,23.0,0.0,26.42,24.76,24.19,,24.19,10.0
68.85520005226135,23.0,0.0,26.42,24.76,24.19,,24.19,10.0
69.3451714515686,23.0,0.0,26.42,24.76,24.19,,24.19,10.0
69.8684868812561,23.0,0.0,26.42,24.76,24.22,,24.22,10.0
70.360271692276,23.0,0.0,26.42,24.8,24.22,,24.22,10.0
70.85982966423035,23.0,0.0,26.42,24.8,24.22,,24.22,10.0
71.37282466888428,23.0,0.0,26.46,24.83,24.26,,24.26,10.0
71.86455535888672,23.0,0.0,26.46,24.83,24.26,,24.26,10.0
72.37012791633606,23.0,0.0,26.46,24.83,24.26,,24.26,10.0
72.86056089401245,23.0,0.0,26.51,24.86,24.29,,24.29,10.0
73.36084270477295,23.0,0.0,26.46,24.86,24.29,,24.29,10.0
73.87180161476135,23.0,0.0,26.51,24.86,24.29,,24.29,10.0
74.37867450714111,23.0,0.0,26.51,24.86,24.29,,24.29,10.0
74.8695273399353,23.0,0.0,26.55,24.89,24.33,,24.33,10.0
75.37579560279846,23.0,0.0,26.55,24.89,24.33,,24.33,10.0
75.88138771057129,23.0,0.0,26.55,24.89,24.36,,24.36,10.0
76.37202548980713,23.0,0.0,26.55,24.93,24.36,,24.36,10.0
76.87850761413574,23.0,0.0,26.55,24.93,24.36,,24.36,10.0
77.38603472709656,23.0,0.0,26.55,24.93,24.36,,24.36,10.0
77.87655067443848,23.0,0.0,26.55,24.93,24.4,,24.4,10.0
78.38261842727661,23.0,0.0,26.6,24.96,24.4,,24.4,10.0
78.8886947631836,23.0,0.0,26.6,24.96,24.4,,24.4,10.0
79.37889051437378,23.0,0.0,26.6,24.99,24.43,,24.43,10.0
79.88416361808777,23.0,0.0,26.6,24.99,24.43,,24.43,10.0
80.38971996307373,23.0,0.0,26.6,24.99,24.43,,24.43,10.0
80.89699530601501,23.0,0.0,26.64,24.99,24.43,,24.43,10.0
81.38636994361877,23.0,0.0,26.64,25.03,24.47,,24.47,10.0
81.89250826835632,23.0,0.0,26.64,25.03,24.47,,24.47,10.0
82.3984305858612,23.0,0.0,26.64,25.03,24.47,,24.47,10.0
82.8890974521637,23.0,0.0,26.64,25.06,24.5,,24.5,10.0
83.39488792419434,23.0,0.0,26.64,25.06,24.5,,24.5,10.0
83.89505338668823,23.0,0.0,26.68,25.06,24.5,,24.5,10.0
84.3879873752594,23.0,0.0,26.68,25.09,24.54,,24.54,10.0
84.89205884933472,23.0,0.0,26.68,25.09,24.54,,24.54,10.0
85.39932799339294,23.0,0.0,26.68,25.09,24.54,,24.54,10.0
85.90847134590149,23.0,0.0,26.68,25.09,24.57,,24.57,10.0
86.40003299713135,23.0,0.0,26.73,25.12,24.57,,24.57,10.0
86.89989614486694,23.0,0.0,26.73,25.12,24.57,,24.57,10.0
87.40998888015747,23.0,0.0,26.73,25.12,24.57,,24.57,10.0
87.90965723991394,23.0,0.0,26.73,25.12,24.61,,24.61,10.0
88.40178990364075,23.0,0.0,26.73,25.16,24.61,,24.61,10.0
88.91007018089294,23.0,0.0,26.73,25.16,24.61,,24.61,10.0
89.40209126472473,23.0,0.0,26.77,25.16,24.61,,24.61,10.0
89.90931177139282,23.0,0.0,26.77,25.16,24.64,,24.64,10.0
90.40982031822205,23.0,0.0,26.77,25.19,24.64,,24.64,10.0
90.91166090965271,23.0,0.0,26.77,25.19,24.64,,24.64,10.0
91.4079360961914,23.0,0.0,26.77,25.19,24.68,,24.68,10.0
91.9098596572876,23.0,0.0,26.82,25.19,24.68,,24.68,10.0
92.40797328948975,23.0,0.0,26.82,25.22,24.68,,24.68,10.0
92.92699885368347,23.0,0.0,26.82,25.22,24.68,,24.68,10.0
93.41544556617737,23.0,0.0,26.82,25.22,24.68,,24.68,10.0
93.92238473892212,23.0,0.0,26.86,25.25,24.71,,24.71,10.0
94.4265296459198,23.0,0.0,26.86,25.25,24.71,,24.71,10.0
94.9278736114502,23.0,0.0,26.86,25.25,24.71,,24.71,10.0
95.41000938415527,23.0,0.0,26.86,25.25,24.75,,24.75,10.0
95.92906737327576,23.0,0.0,26.86,25.29,24.75,,24.75,10.0
96.4198727607727,23.0,0.0,26.86,25.29,24.75,,24.75,10.0
96.9254310131073,23.0,0.0,26.86,25.29,24.78,,24.78,10.0
97.42591643333435,23.0,0.0,26.91,25.32,24.78,,24.78,10.0
97.92251920700073,23.0,0.0,26.91,25.32,24.78,,24.78,10.0
98.42644381523132,23.0,0.0,26.91,25.32,24.82,,24.82,10.0
98.92346620559692,23.0,0.0,26.91,25.32,24.82,,24.82,10.0
99.44479632377625,23.0,0.0,26.91,25.35,24.82,,24.82,10.0
99.9287850856781,23.0,0.0,26.91,25.35,24.82,,24.82,10.0
100.44271326065063,23.0,0.0,26.95,25.35,24.82,,24.82,10.0
100.92630696296692,23.0,0.0,26.95,25.35,24.85,,24.85,10.0
101.43954682350159,23.0,0.0,26.95,25.35,24.85,,24.85,10.0
101.9434826374054,23.0,0.0,26.95,25.38,24.85,,24.85,10.0
102.43539142608643,23.0,0.0,26.95,25.38,24.85,,24.85,10.0
102.95691728591919,23.0,0.0,26.95,25.38,24.89,,24.89,10.0
103.45310974121094,23.0,0.0,26.95,25.38,24.89,,24.89,10.0
103.94320106506348,23.0,0.0,27.0,25.42,24.89,,24.89,10.0
104.4539577960968,23.0,0.0,27.0,25.42,24.89,,24.89,10.0
104.94675517082214,23.0,0.0,27.0,25.42,24.93,,24.93,10.0
