time,signal1
0,0
3.15544362088405e-30,1.12571857170397e-62
7.8154129790401e-07,6.90578165086491e-16
4.68924778742406e-06,2.48608133372292e-14
2.42277802350243e-05,6.6364551960563e-13
0.000121920442473026,1.68058975286348e-11
0.000610383753663032,4.21224146705072e-10
0.00305270030961306,1.05358372709123e-08
0.0152642830893632,2.63402844482612e-07
0.076322196988114,6.58269879755231e-06
0.381611766481868,0.000164255091035896
0.5,0.000281769929627172
1,0.00112357003160488
1.5,0.00252015955350585
2,0.00446632934046822
2.5,0.00695690170248667
3,0.00998673028196388
3.5,0.0135506999215237
4,0.0176437265320878
4.5,0.0222607569612177
5,0.027396768861723
5.5,0.0330467705605387
6,0.0392058009278714
6.5,0.0458689292466184
7,0.053031255082058
7.5,0.0606879081518155
8,0.0688340481961052
8.5,0.0774648648482487
9,0.086575577505473
9.5,0.0961614351999886
10,0.106217716470349
10.5,0.116739729233094
11,0.127722810654675
11.5,0.139162327023669
12,0.151053673623278
12.5,0.163392274604117
13,0.176173582857291
13.5,0.189393079887762
14,0.203046275688011
14.5,0.21712870861199
15,0.231635945249368
15.5,0.246563580300078
16,0.261907236449152
16.5,0.277662564241863
17,0.293825241959155
17.5,0.310390975493387
18,0.327355498224363
18.5,0.344714570895674
19,0.362463981491343
19.5,0.380599545112764
20,0.399117103855962
20.5,0.418012526689144
21,0.437281709330564
21.5,0.456920574126699
22,0.476925069930724
22.5,0.497291171981307
23,0.518014881781711
23.5,0.539092226979199
24,0.56051926124477
24.5,0.582292064153187
25,0.604406741063333
25.5,0.626859422998878
26,0.649646266529258
26.5,0.672763453650978
27,0.69620719166922
27.452742042206,0.717713688121088
27.4527420422062,0.717713688121099
27.4527420422065,0.71771368812111
27.5,0.719973713079777
27.5472579577935,0.722236588095345
27.6417738733806,0.726770875705931
27.8308057045548,0.735873513217575
28,0.744059275451318
28.5,0.768460161307934
29,0.793172678012043
29.5,0.818193157647598
30,0.843517956903614
30.5,0.869143456958025
31,0.895066063361858
31.5,0.921282205923728
32,0.94778833859466
32.5,0.974580939353236
33,1.00165651009106
33.5,1.02901157649857
34,1.05664268795111
34.5,1.08454641739545
35,1.1127193612365
35.5,1.14115813922441
36,1.16985939434204
36.5,1.19881979269269
37,1.22803602338817
37.5,1.25750479843722
38,1.28722285263427
38.5,1.31718694344849
39,1.3473938509132
39.5,1.37784037751559
40,1.40852334808681
40.5,1.4394396096923
41,1.4705860315226
41.5,1.50195950478433
42,1.53355694259162
42.5,1.56537527985781
43,1.59741147318749
43.5,1.62966250076894
44,1.66212536226677
44.5,1.69479707871503
45,1.72767469241054
45.0303986126627,1.72968013446032
45.0303986126632,1.72968013446035
45.5,1.76075526680668
46,1.79403588640736
46.5,1.82751365666147
47,1.86118570385753
47.1965875330867,1.87447729796803
47.1965875330871,1.87447729796806
47.1965875330876,1.8744772979681
47.5,1.89504917501878
47.8034124669124,1.91569049798915
48,1.92910123779868
48.5,1.96333908037638
49,1.99775991135299
49.5,2.03236095964786
50,2.06713947439536
50.5,2.10209272484192
51,2.13721800024343
51.5,2.17251260976295
52,2.20797388236881
52.5,2.24359916673299
53,2.27938583112985
53.5,2.31533126333521
54,2.35143287052575
54.5,2.38768807917878
55,2.42409433497225
55.5,2.46064910268522
56,2.49734986609861
56.5,2.53419412789623
57,2.57117940956623
57.5,2.60830325130286
58,2.64556321190852
58.5,2.68295686869624
59,2.72048181739235
59.5,2.75813567203966
59.9999999999995,2.79591606490079
60,2.79591606490082
60.0000000000005,2.79591606490086
60.5,2.83382064636212
61,2.87184708483755
61.5,2.90999306667325
62,2.94825629605227
62.5,2.98663449489963
63,3.02512540278782
63.5,3.06372677684248
64,3.10243639164856
64.5,3.14125203915672
65,3.18017152859007
65.5,3.21919268635132
66,3.25831335593014
66.5,3.29753139781099
67,3.33684468938114
67.5,3.37625112483915
68,3.41574861510356
68.5,3.45533508772206
69,3.49500848678084
69.5,3.53476677281433
70,3.57460792271534
70.5,3.61452992964542
71,3.65453080294559
71.5,3.69460856804743
72,3.73476126638448
72.5,3.77498695530395
73,3.81528370797876
73.5,3.85564961331994
74,3.89608277588936
74.5,3.93658131581272
75,3.97714336869295
75.5,4.01776708552387
76,4.05845063260425
76.5,4.09919219145211
77,4.13998995871942
77.5,4.18084214610706
78,4.22174698028019
78.5,4.26270270278386
79,4.30370756995895
79.5,4.34475985285855
80,4.38585783716447
80.5,4.42699982310425
81,4.46818412536841
81.5,4.50940907302799
82,4.55067300945251
82.5,4.59197429222815
83,4.63331129307634
83.5,4.67468239777257
84,4.71608600606563
84.5,4.75752053159708
85,4.79898440182108
85.5,4.84047605792456
86,4.88199395474762
86.5,4.92353656070437
87,4.965102357704
87.5,5.00668984107216
88,5.04829751947273
88.5,5.08992391482985
89,5.13156756225027
89.5,5.173227009946
90,5.21490081915734
