Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM)
50.44399070739746,23.0,0.0,18.23,21.29,22.17,,22.17,-20.0
51.64969444274902,23.0,0.0,18.18,21.29,22.17,,22.17,-20.0
52.0296790599823,23.0,0.0,18.18,21.26,22.17,,22.17,-20.0
52.426724910736084,23.0,0.0,18.18,21.23,22.13,,22.13,-20.0
52.822927474975586,23.0,0.0,18.14,21.23,22.13,,22.13,-20.0
53.234273195266724,23.0,0.0,18.14,21.19,22.13,,22.13,-20.0
53.64121866226196,23.0,0.0,18.14,21.19,22.09,,22.09,-20.0
54.041282176971436,23.0,0.0,18.09,21.16,22.09,,22.09,-20.0
54.42312431335449,23.0,0.0,18.05,21.16,22.06,,22.06,-20.0
54.81875419616699,23.0,0.0,18.05,21.13,22.06,,22.06,-20.0
55.209738969802856,23.0,0.0,18.05,21.13,22.06,,22.06,-20.0
55.62737417221069,23.0,0.0,18.0,21.09,22.02,,22.02,-20.0
56.03316783905029,23.0,0.0,18.0,21.09,22.02,,22.02,-20.0
56.43398404121399,23.0,0.0,17.96,21.06,21.99,,21.99,-20.0
56.830288887023926,23.0,0.0,17.96,21.03,21.99,,21.99,-20.0
57.24124240875244,23.0,0.0,17.91,21.03,21.99,,21.99,-20.0
57.65375280380249,23.0,0.0,17.91,20.99,21.99,,21.99,-20.0
58.050108671188354,23.0,0.0,17.91,20.99,21.95,,21.95,-20.0
58.43955087661743,23.0,0.0,17.87,20.96,21.92,,21.92,-20.0
58.82749795913696,23.0,0.0,17.87,20.96,21.92,,21.92,-20.0
59.23765563964844,23.0,0.0,17.82,20.93,21.92,,21.92,-20.0
59.618199825286865,23.0,0.0,17.82,20.93,21.88,,21.88,-20.0
60.01181674003601,23.0,0.0,17.78,20.89,21.88,,21.88,-20.0
60.41814732551575,23.0,0.0,17.78,20.89,21.84,,21.84,-20.0
60.82058763504028,23.0,0.0,17.78,20.86,21.84,,21.84,-20.0
61.213489294052124,23.0,0.0,17.73,20.86,21.84,,21.84,-20.0
61.62599754333496,23.0,0.0,17.73,20.82,21.81,,21.81,-20.0
62.01951766014099,23.0,0.0,17.73,20.82,21.81,,21.81,-20.0
62.42866492271423,23.0,0.0,17.73,20.79,21.77,,21.77,-20.0
62.8098464012146,23.0,0.0,17.69,20.79,21.77,,21.77,-20.0
63.22084379196167,23.0,0.0,17.64,20.76,21.77,,21.77,-20.0
63.63092064857483,23.0,0.0,17.64,20.76,21.74,,21.74,-20.0
64.02198028564453,23.0,0.0,17.64,20.72,21.7,,21.7,-20.0
64.44048810005188,23.0,0.0,17.6,20.72,21.7,,21.7,-20.0
64.83126735687256,23.0,0.0,17.6,20.69,21.7,,21.7,-20.0
65.22351145744324,23.0,0.0,17.6,20.69,21.66,,21.66,-20.0
65.61153149604797,23.0,0.0,17.6,20.66,21.66,,21.66,-20.0
66.00746178627014,23.0,0.0,17.56,20.62,21.63,,21.63,-20.0
66.40260910987854,23.0,0.0,17.56,20.62,21.63,,21.63,-20.0
66.81541419029236,23.0,0.0,17.51,20.62,21.63,,21.63,-20.0
67.21090245246887,23.0,0.0,17.51,20.62,21.59,,21.59,-20.0
67.62243175506592,23.0,0.0,17.51,20.59,21.59,,21.59,-20.0
68.0181953907013,23.0,0.0,17.47,20.55,21.56,,21.56,-20.0
68.45996928215027,23.0,0.0,17.47,20.55,21.56,,21.56,-20.0
68.85654354095459,23.0,0.0,17.42,20.52,21.56,,21.56,-20.0
69.24980664253235,23.0,0.0,17.42,20.52,21.52,,21.52,-20.0
69.65993905067444,23.0,0.0,17.42,20.49,21.52,,21.52,-20.0
70.05518388748169,23.0,0.0,17.42,20.52,21.49,,21.49,-20.0
70.43393802642822,23.0,0.0,17.42,20.45,21.49,,21.49,-20.0
70.83020114898682,23.0,0.0,17.38,20.45,21.45,,21.45,-20.0
71.22480344772339,23.0,0.0,17.38,20.45,21.41,,21.41,-20.0
71.60627865791321,23.0,0.0,17.33,20.42,21.41,,21.41,-20.0
72.00022482872009,23.0,0.0,17.33,20.42,21.41,,21.41,-20.0
72.39363837242126,23.0,0.0,17.33,20.39,21.38,,21.38,-20.0
72.78462719917297,23.0,0.0,17.29,20.39,21.38,,21.38,-20.0
73.18736219406128,23.0,0.0,17.29,20.39,21.38,,21.38,-20.0
73.58317470550537,23.0,0.0,17.29,20.35,21.34,,21.34,-20.0
73.98457312583923,23.0,0.0,17.24,20.35,21.34,,21.34,-20.0
74.3707926273346,23.0,0.0,17.24,20.32,21.31,,21.31,-20.0
74.7473886013031,23.0,0.0,17.24,20.32,21.31,,21.31,-20.0
75.15602564811707,23.0,0.0,17.2,20.28,21.27,,21.27,-20.0
75.55131101608276,23.0,0.0,17.2,20.28,21.27,,21.27,-20.0
75.93450570106506,23.0,0.0,17.2,20.25,21.27,,21.27,-20.0
76.31234049797058,23.0,0.0,17.2,20.25,21.23,,21.23,-20.0
76.68962717056274,23.0,0.0,17.2,20.25,21.23,,21.23,-20.0
77.07767939567566,23.0,0.0,17.15,20.22,21.23,,21.23,-20.0
77.4653377532959,23.0,0.0,17.15,20.22,21.2,,21.2,-20.0
77.84726405143738,23.0,0.0,17.15,20.18,21.2,,21.2,-20.0
78.2312638759613,23.0,0.0,17.11,20.18,21.16,,21.16,-20.0
78.62745714187622,23.0,0.0,17.11,20.15,21.16,,21.16,-20.0
79.01658296585083,23.0,0.0,17.11,20.15,21.13,,21.13,-20.0
79.38651490211487,23.0,0.0,17.06,20.15,21.13,,21.13,-20.0
79.76359486579895,23.0,0.0,17.06,20.11,21.09,,21.09,-20.0
80.15264296531677,23.0,0.0,17.06,20.08,21.09,,21.09,-20.0
80.53904914855957,23.0,0.0,17.02,20.11,21.09,,21.09,-20.0
80.91429305076599,23.0,0.0,17.02,20.08,21.09,,21.09,-20.0
81.3101658821106,23.0,0.0,17.02,20.05,21.05,,21.05,-20.0
81.69940781593323,23.0,0.0,17.02,20.05,21.02,,21.02,-20.0
82.09504342079163,23.0,0.0,17.02,20.01,21.02,,21.02,-20.0
82.48676490783691,23.0,0.0,16.97,20.01,21.02,,21.02,-20.0
82.87032866477966,23.0,0.0,16.97,20.01,20.98,,20.98,-20.0
83.25719976425171,23.0,0.0,16.97,19.98,20.98,,20.98,-20.0
83.64257574081421,23.0,0.0,16.97,19.98,20.95,,20.95,-20.0
84.03979635238647,23.0,0.0,16.93,19.98,20.95,,20.95,-20.0
84.41684484481812,23.0,0.0,16.93,19.94,20.91,,20.91,-20.0
84.83212614059448,23.0,0.0,16.93,19.94,20.91,,20.91,-20.0
85.24312472343445,23.0,0.0,16.88,19.91,20.91,,20.91,-20.0
85.63297080993652,23.0,0.0,16.88,19.91,20.87,,20.87,-20.0
86.0347683429718,23.0,0.0,16.88,19.88,20.87,,20.87,-20.0
86.42975378036499,23.0,0.0,16.88,19.88,20.84,,20.84,-20.0
86.9042329788208,23.0,0.0,16.84,19.84,20.84,,20.84,-20.0
87.40621852874756,23.0,0.0,16.84,19.84,20.84,,20.84,-20.0
87.89213109016418,23.0,0.0,16.84,19.84,20.8,,20.8,-20.0
88.40984606742859,23.0,0.0,16.84,19.84,20.8,,20.8,-20.0
88.90298390388489,23.0,0.0,16.84,19.81,20.76,,20.76,-20.0
89.40992188453674,23.0,0.0,16.79,19.81,20.76,,20.76,-20.0
89.9181981086731,23.0,0.0,16.79,19.81,20.76,,20.76,-20.0
90.40712642669678,23.0,0.0,16.79,19.77,20.73,,20.73,-20.0
90.91528534889221,23.0,0.0,16.79,19.77,20.73,,20.73,-20.0
91.42121601104736,23.0,0.0,16.75,19.77,20.73,,20.73,-20.0
91.91223359107971,23.0,0.0,16.75,19.74,20.69,,20.69,-20.0
92.42064666748047,23.0,0.0,16.75,19.74,20.69,,20.69,-20.0
92.92433547973633,23.0,0.0,16.75,19.74,20.66,,20.66,-20.0
93.40920734405518,23.0,0.0,16.71,19.71,20.66,,20.66,-20.0
93.92364954948425,23.0,0.0,16.71,19.71,20.66,,20.66,-20.0
94.42581009864807,23.0,0.0,16.71,19.71,20.62,,20.62,-20.0
94.92216491699219,23.0,0.0,16.71,19.67,20.62,,20.62,-20.0
95.4236798286438,23.0,0.0,16.71,19.64,20.58,,20.58,-20.0
95.91389679908752,23.0,0.0,16.71,19.67,20.58,,20.58,-20.0
96.42523121833801,23.0,0.0,16.71,19.64,20.58,,20.58,-20.0
96.9257504940033,23.0,0.0,16.66,19.6,20.55,,20.55,-20.0
97.41958212852478,23.0,0.0,16.66,19.6,20.55,,20.55,-20.0
97.94087386131287,23.0,0.0,16.66,19.6,20.51,,20.51,-20.0
98.42520213127136,23.0,0.0,16.66,19.57,20.51,,20.51,-20.0
98.9370596408844,23.0,0.0,16.66,19.57,20.51,,20.51,-20.0
99.44188094139099,23.0,0.0,16.62,19.57,20.51,,20.51,-20.0
99.92558860778809,23.0,0.0,16.62,19.57,20.48,,20.48,-20.0
100.42492341995239,23.0,0.0,16.62,19.54,20.48,,20.48,-20.0
100.94280791282654,23.0,0.0,16.62,19.54,20.48,,20.48,-20.0
101.43691515922546,23.0,0.0,16.57,19.5,20.44,,20.44,-20.0
101.93355512619019,23.0,0.0,16.57,19.5,20.44,,20.44,-20.0
102.44052839279175,23.0,0.0,16.57,19.5,20.44,,20.44,-20.0
102.94896864891052,23.0,0.0,16.57,19.47,20.4,,20.4,-20.0
103.45349979400635,23.0,0.0,16.57,19.47,20.4,,20.4,-20.0
103.93857836723328,23.0,0.0,16.57,19.47,20.37,,20.37,-20.0
104.44729089736938,23.0,0.0,16.53,19.47,20.4,,20.4,-20.0
104.9547770023346,23.0,0.0,16.53,19.43,20.37,,20.37,-20.0
105.45811581611633,23.0,0.0,16.53,19.43,20.37,,20.37,-20.0
105.94140887260437,23.0,0.0,16.48,19.43,20.33,,20.33,-20.0
106.45658779144287,23.0,0.0,16.48,19.4,20.33,,20.33,-20.0
106.95869040489197,23.0,0.0,16.48,19.4,20.33,,20.33,-20.0
107.45384335517883,23.0,0.0,16.48,19.4,20.29,,20.29,-20.0
107.95757389068604,23.0,0.0,16.44,19.4,20.29,,20.29,-20.0
108.457599401474,23.0,0.0,16.44,19.36,20.29,,20.29,-20.0
108.95682144165039,23.0,0.0,16.44,19.36,20.26,,20.26,-20.0
109.46289587020874,23.0,0.0,16.44,19.33,20.26,,20.26,-20.0
109.95156908035278,23.0,0.0,16.44,19.33,20.26,,20.26,-20.0
110.4737901687622,23.0,0.0,16.44,19.3,20.22,,20.22,-20.0
110.95702004432678,23.0,0.0,16.44,19.33,20.22,,20.22,-20.0
111.47205901145935,23.0,0.0,16.39,19.3,20.22,,20.22,-20.0
111.97646951675415,23.0,0.0,16.35,19.3,20.19,,20.19,-20.0
112.45829653739929,23.0,0.0,16.39,19.3,20.19,,20.19,-20.0
112.9730806350708,23.0,0.0,16.35,19.26,20.19,,20.19,-20.0
113.47553706169128,23.0,0.0,16.39,19.26,20.19,,20.19,-20.0
113.96688055992126,23.0,0.0,16.35,19.26,20.15,,20.15,-20.0
114.4739625453949,23.0,0.0,16.35,19.26,20.11,,20.11,-20.0
114.97581577301025,23.0,0.0,16.35,19.23,20.15,,20.15,-20.0
115.48735070228577,23.0,0.0,16.3,19.23,20.11,,20.11,-20.0
115.97632074356079,23.0,0.0,16.35,19.19,20.11,,20.11,-20.0
116.4689929485321,23.0,0.0,16.35,19.19,20.11,,20.11,-20.0
116.97577404975891,23.0,0.0,16.3,19.19,20.08,,20.08,-20.0
117.47024130821228,23.0,0.0,16.3,19.16,20.08,,20.08,-20.0
117.98874974250793,23.0,0.0,16.3,19.19,20.08,,20.08,-20.0
118.49282622337341,23.0,0.0,16.3,19.16,20.04,,20.04,-20.0
118.97107458114624,23.0,0.0,16.26,19.12,20.04,,20.04,-20.0
119.48482203483582,23.0,0.0,16.3,19.12,20.04,,20.04,-20.0
119.98868155479431,23.0,0.0,16.3,19.12,20.04,,20.04,-20.0
120.48686361312866,23.0,0.0,16.26,19.12,20.0,,20.0,-20.0
120.98443913459778,23.0,0.0,16.26,19.09,20.0,,20.0,-20.0
121.48887014389038,23.0,0.0,16.26,19.12,20.0,,20.0,-20.0
121.98912644386292,23.0,0.0,16.26,19.09,20.0,,20.0,-20.0
122.4902458190918,23.0,0.0,16.21,19.09,19.97,,19.97,-20.0
122.99122548103333,23.0,0.0,16.21,19.09,19.97,,19.97,-20.0
123.49900984764099,23.0,0.0,16.21,19.06,19.93,,19.93,-20.0
124.00087690353394,23.0,0.0,16.21,19.06,19.93,,19.93,-20.0
124.4917721748352,23.0,0.0,16.17,19.02,19.89,,19.89,-20.0
124.99030351638794,23.0,0.0,16.17,19.06,19.89,,19.89,-20.0
125.49192237854004,23.0,0.0,16.17,19.02,19.89,,19.89,-20.0
125.99936127662659,23.0,0.0,16.17,19.02,19.89,,19.89,-20.0
126.49197053909302,23.0,0.0,16.17,19.02,19.89,,19.89,-20.0
127.00058317184448,23.0,0.0,16.17,19.02,19.86,,19.86,-20.0
127.50435495376587,23.0,0.0,16.12,18.99,19.86,,19.86,-20.0
128.00920939445496,23.0,0.0,16.12,18.99,19.86,,19.86,-20.0
128.51393103599548,23.0,0.0,16.12,18.95,19.82,,19.82,-20.0
129.01650667190552,23.0,0.0,16.12,18.95,19.82,,19.82,-20.0
129.50699877738953,23.0,0.0,16.12,18.95,19.79,,19.79,-20.0
130.01609992980957,23.0,0.0,16.08,18.92,19.79,,19.79,-20.0
130.51662802696228,23.0,0.0,16.08,18.92,19.79,,19.79,-20.0
131.01700019836426,23.0,0.0,16.08,18.92,19.79,,19.79,-20.0
131.5176055431366,23.0,0.0,16.08,18.92,19.79,,19.79,-20.0
132.00863480567932,23.0,0.0,16.08,18.92,19.75,,19.75,-20.0
132.51770734786987,23.0,0.0,16.08,18.92,19.75,,19.75,-20.0
133.02211093902588,23.0,0.0,16.08,18.88,19.75,,19.75,-20.0
133.51743745803833,23.0,0.0,16.03,18.85,19.75,,19.75,-20.0
134.03245735168457,23.0,0.0,16.08,18.88,19.71,,19.71,-20.0
134.52233934402466,23.0,0.0,16.03,18.85,19.71,,19.71,-20.0
135.0290071964264,23.0,0.0,16.08,18.85,19.71,,19.71,-20.0
135.5334346294403,23.0,0.0,16.03,18.81,19.68,,19.68,-20.0
136.03360986709595,23.0,0.0,16.03,18.85,19.68,,19.68,-20.0
136.52968311309814,23.0,0.0,15.99,18.81,19.68,,19.68,-20.0
137.03071427345276,23.0,0.0,16.03,18.81,19.68,,19.68,-20.0
137.5326807498932,23.0,0.0,16.03,18.78,19.64,,19.64,-20.0
138.02589678764343,23.0,0.0,16.03,18.78,19.68,,19.68,-20.0
138.53427863121033,23.0,0.0,15.99,18.78,19.64,,19.64,-20.0
139.0391685962677,23.0,0.0,15.99,18.78,19.6,,19.6,-20.0
139.53111267089844,23.0,0.0,15.99,18.75,19.6,,19.6,-20.0
140.03406047821045,23.0,0.0,15.99,18.78,19.6,,19.6,-20.0
140.5326817035675,23.0,0.0,15.99,18.75,19.6,,19.6,-20.0
141.04849529266357,23.0,0.0,15.94,18.75,19.57,,19.57,-20.0
141.5326931476593,23.0,0.0,15.94,18.75,19.6,,19.6,-20.0
142.04924249649048,23.0,0.0,15.94,18.71,19.57,,19.57,-20.0
142.5497269630432,23.0,0.0,15.94,18.71,19.57,,19.57,-20.0
143.04673528671265,23.0,0.0,15.94,18.71,19.53,,19.53,-20.0
143.54991102218628,23.0,0.0,15.94,18.71,19.53,,19.53,-20.0
144.04336524009705,23.0,0.0,15.94,18.68,19.53,,19.53,-20.0
144.54993343353271,23.0,0.0,15.94,18.68,19.53,,19.53,-20.0
145.04173302650452,23.0,0.0,15.94,18.68,19.53,,19.53,-20.0
145.54581427574158,23.0,0.0,15.9,18.68,19.53,,19.53,-20.0
146.06691193580627,23.0,0.0,15.9,18.68,19.49,,19.49,-20.0
146.5465865135193,23.0,0.0,15.9,18.64,19.46,,19.46,-20.0
147.0625593662262,23.0,0.0,15.9,18.64,19.49,,19.49,-20.0
147.56766152381897,23.0,0.0,15.9,18.64,19.46,,19.46,-20.0
148.04795670509338,23.0,0.0,15.9,18.64,19.46,,19.46,-20.0
148.56375670433044,23.0,0.0,15.9,18.64,19.46,,19.46,-20.0
149.067076921463,23.0,0.0,15.85,18.61,19.46,,19.46,-20.0
149.56725811958313,23.0,0.0,15.85,18.64,19.46,,19.46,-20.0
150.06354904174805,23.0,0.0,15.85,18.57,19.42,,19.42,-20.0
150.56912684440613,23.0,0.0,15.85,18.61,19.42,,19.42,-20.0
151.05837750434875,23.0,0.0,15.85,18.61,19.42,,19.42,-20.0
151.58111882209778,23.0,0.0,15.85,18.57,19.42,,19.42,-20.0
152.0716745853424,23.0,0.0,15.81,18.57,19.38,,19.38,-20.0
152.57960534095764,23.0,0.0,15.81,18.57,19.38,,19.38,-20.0
