time,sortie
0,23
3.15544362088405e-30,23.0007758413788
3.12035581553985e-06,23.0030748938793
1.87221348932391e-05,23.0068542840044
9.67310302817354e-05,23.0120693032356
0.000486775507224217,23.0186762531803
0.00243699789193662,23.0266324252184
0.0121881098154987,23.0358960805304
0.0609436694333088,23.0464264305065
0.238553478851474,23.0581836175269
0.5,23.0711286961079
1,23.0852236144071
1.5,23.1004311960805
2,23.1167151224859
2.5,23.1340399152254
3,23.1523709190209
3.5,23.1716742849177
4,23.1919169538079
4.5,23.2130666402695
5,23.2350918167158
5.5,23.2579616978467
6,23.2816462253997
6.5,23.3061160531924
7,23.3313425324532
7.5,23.3572976974329
8,23.3839542512937
8.5,23.4112855522695
9,23.4392656000932
9.5,23.4678690226848
10,23.4970710630973
10.5,23.5268475667139
11,23.5571749686932
11.5,23.5880302816569
12,23.6193910836157
12.5,23.6512355061294
13,23.6835422226966
13.5,23.7162904373694
14,23.7494598735894
14.5,23.7830307632408
15,23.8169838359164
15.5,23.8513003083926
16,23.8859618743097
16.5,23.9209506940533
17,23.9562493848332
17.5,23.9918410109568
18,24.0277090742921
18.5,24.0638375049177
19,24.1002106519559
19.5,24.136813274586
20,24.1736305332337
20.5,24.2106479809337
21,24.2478515548623
21.5,24.2852275680369
22,24.3227627011787
22.5,24.3604439947365
23,24.3982588410674
23.5,24.436194976773
24,24.4742404751861
24.5,24.5123837390073
25,24.5506134930869
25.5,24.588918777351
26,24.6272889398667
26.5,24.6657136300471
27,24.7041827919899
27.5,24.7426866579502
28,24.7812157419428
28.5,24.8197608334724
29,24.8583129913895
29.5,24.8968635378694
30,24.9354040525113
30.5,24.9739263665565
31,25.0124225572229
31.5,25.0508849421525
32,25.0893060739719
32.5,25.127678734962
33,25.1659959318349
33.5,25.2042508906174
34,25.2424370516369
34.5,25.2805480646102
35,25.3185777838304
35.5,25.3565202634531
36,25.3943697528779
36.5,25.4321206922231
37,25.4697677078946
37.5,25.5073056082431
38,25.5447293793122
38.5,25.5820341806718
39,25.6192153413382
39.5,25.6562683557772
40,25.6931888799896
40.5,25.7299727276777
41,25.7666158664901
41.5,25.8031144143446
42,25.8394646358271
42.5,25.8756629386644
43,25.9117058702714
43.5,25.9475901143687
44,25.9833124876713
44.5,26.0188699366461
45,26.0542595343373
45.5,26.0894784772575
46,26.1245240823443
46.5,26.159393783981
47,26.1940851310791
47.5,26.2285957842227
48,26.2629235128728
48.5,26.2970661926309
49,26.3310218025596
49.5,26.3647884225614
50,26.3983642308113
50.5,26.4317475012454
51,26.464936601102
51.5,26.4979299885157
52,26.5307262101624
52.5,26.5633238989553
53,26.5957217717892
53.5,26.6279186273348
54,26.6599133438786
54.5,26.6917048772111
55,26.7232922585594
55.5,26.7546745925649
56,26.785851055305
56.5,26.8168208923575
57,26.8475834169075
57.5,26.8781380078949
58,26.908484108203
58.5,26.9386212228867
59,26.9685489174392
59.5,26.9982668160971
60,27.027774600183
60.5,27.0570720064841
61,27.0861588256673
61.5,27.1150349007293
62,27.1437001254808
62.5,27.1721544430651
