temps,sortie
0,23.0163444027777
3.15544362088405e-30,23.0163444027777
3.12035581553985e-06,23.0163444027777
1.87221348932391e-05,23.0163444027777
9.67310302817354e-05,23.0163444027777
0.000486775507224217,23.0163444027777
0.00243699789193662,23.0500632079529
0.0121881098154987,23.0500632079529
0.0609436694333088,23.0500632079529
0.238553478851474,23.0837734595476
0.5,23.0837734595476
1,23.0837734595476
1.5,23.1174751986409
2,23.1174751986409
2.5,23.1511684662365
3,23.1511684662365
3.5,23.1848533032619
4,23.2185297505692
4.5,23.2185297505692
5,23.2521978489358
5.5,23.2521978489358
6,23.285857639064
6.5,23.3195091615824
7,23.3531524570452
7.5,23.3531524570452
8,23.3867875659334
8.5,23.4204145286548
9,23.4540333855444
9.5,23.4876441768646
10,23.5212469428062
10.5,23.5212469428062
11,23.5548417234878
11.5,23.5884285589571
12,23.6220074891906
12.5,23.6555785540943
13,23.6891417935038
13.5,23.7226972471852
14,23.7562449548345
14.5,23.7897849560791
15,23.8233172904771
15.5,23.8568419975184
16,23.8903591166246
16.5,23.9238686871497
17,23.9573707483802
17.5,23.9908653395353
18,24.0243524997679
18.5,24.0913046837439
19,24.1247697854619
19.5,24.1582276122073
20,24.1916782028038
20.5,24.2251215960108
21,24.2585578305233
21.5,24.291986944972
22,24.3254089779242
22.5,24.3588239678834
23,24.4256329725234
23.5,24.4590270638977
24,24.4924142656668
24.5,24.5257946160223
25,24.5591681530947
25.5,24.5925349149531
26,24.6258949396058
26.5,24.6925949290257
27,24.7259349695085
27.5,24.7592684242176
28,24.7925953308622
28.5,24.8259157270925
29,24.8592296505001
29.5,24.8925371386186
30,24.959132958832
30.5,24.9924213657052
31,25.0257034868463
31.5,25.0589793595018
32,25.092249020862
32.5,25.125512508061
33,25.1920211082327
33.5,25.2252662951956
34,25.2585054559783
34.5,25.2917386274385
35,25.3249658463799
35.5,25.358187149552
36,25.3914025736506
36.5,25.457815931143
37,25.4910139376623
37.5,25.5242062113592
38,25.5573927886653
38.5,25.5905737059599
39,25.6237489995704
39.5,25.6569187057733
40,25.6900828607933
40.5,25.7563946619311
41,25.7895423802457
41.5,25.8226846917715
42,25.8558216324824
42.5,25.8889532383021
43,25.9220795451053
43.5,25.9552005887181
44,25.9883164049178
44.5,26.0214270294331
45,26.0545324979449
45.5,26.0876328460861
46,26.1538183235512
46.5,26.1869035239044
47,26.2199837459462
47.5,26.2530590250745
48,26.2861293966411
48.5,26.3191948959517
49,26.3522555582665
49.5,26.3853114188003
50,26.4183625127226
50.5,26.4514088751583
51,26.4844505411872
51.5,26.5174875458455
52,26.5505199241244
52.5,26.5835477109721
53,26.6165709412928
53.5,26.6495896499473
54,26.6826038717537
54.5,26.7156136414868
55,26.7486189938795
55.5,26.7816199636218
56,26.8146165853622
56.5,26.8146165853622
57,26.8476088937068
57.5,26.8805969232207
58,26.9135807084276
58.5,26.9465602838099
59,26.9795356838096
59.5,27.0125069428279
60,27.0454740952258
60.5,27.0784371753244
61,27.1113962174047
61.5,27.1443512557086
62,27.1443512557086
62.5,27.1773023244382
63,27.210249457757
63.5,27.2431926897893
64,27.2761320546214
64.5,27.3090675863005
65,27.3090675863005
65.5,27.3419993188364
66,27.3749272862007
66.5,27.4078515223275
67,27.4407720611135
67.5,27.4736889364186
68,27.4736889364186
68.5,27.5066021820652
69,27.5395118318395
69.5,27.5724179194913
70,27.5724179194913
70.5,27.6053204787341
71,27.6382195432454
71.5,27.6711151466671
72,27.6711151466671
72.5,27.7040073226057
73,27.7368961046324
73.5,27.7697815262833
74,27.7697815262833
74.5,27.8026636210598
75,27.8355424224288
75.5,27.868417963823
76,27.868417963823
76.5,27.9012902786408
77,27.9341594002468
77.5,27.9341594002468
78,27.9670253619722
78.5,27.9998881971144
79,27.9998881971144
79.5,28.0327479389381
80,28.0656046206749
80.5,28.0656046206749
81,28.0984582755233
81.5,28.13130893665
82,28.13130893665
82.5,28.164156637189
83,28.164156637189
83.5,28.1970014102423
84,28.2298432888801
84.5,28.2298432888801
85,28.2626823061413
85.5,28.2626823061413
86,28.295518495033
86.5,28.3283518885314
87,28.3283518885314
87.5,28.3611825195817
88,28.3611825195817
88.5,28.3940104210986
89,28.3940104210986
89.5,28.426835625966
90,28.426835625966
90.5,28.4596581670377
91,28.4596581670377
91.5,28.4924780771377
92,28.5252953890596
92.5,28.5252953890596
93,28.558110135568
93.5,28.558110135568
94,28.5909223493978
94.5,28.5909223493978
95,28.6237320632546
95.5,28.6237320632546
