temps_s,temperature_C
0.000,24.27
0.502,24.44
1.003,24.63
1.505,24.83
2.006,25.02
2.507,25.22
3.009,25.41
3.511,25.57
4.011,25.77
4.513,25.96
5.015,26.12
5.516,26.29
6.017,26.45
6.519,26.61
7.020,26.74
7.522,26.90
8.023,27.06
8.524,27.19
9.026,27.32
9.528,27.45
10.028,27.58
10.530,27.71
11.032,27.84
11.533,27.96
12.034,28.06
12.536,28.19
13.037,28.29
13.539,28.42
14.040,28.51
14.542,28.61
15.043,28.71
15.545,28.83
16.046,28.93
16.547,29.03
17.049,29.12
17.551,29.22
18.052,29.29
18.553,29.38
19.055,29.48
19.557,29.54
20.057,29.64
20.559,29.74
21.061,29.80
21.563,29.90
22.063,29.99
22.565,30.06
23.067,30.12
23.568,30.19
24.069,30.28
24.571,30.35
25.072,30.41
25.574,30.51
26.076,30.57
26.577,30.64
27.078,30.70
27.580,30.80
28.082,30.86
28.582,30.90
29.084,30.99
29.586,31.06
30.088,31.12
30.588,31.19
31.090,31.25
31.592,31.32
32.093,31.35
32.594,31.41
33.096,31.48
33.597,31.54
34.099,31.61
34.600,31.67
35.102,31.70
35.603,31.77
36.105,31.83
36.606,31.90
37.107,31.93
37.609,32.00
38.111,32.06
38.611,32.13
39.113,32.19
39.615,32.22
40.117,32.29
40.617,32.32
41.119,32.38
41.621,32.42
42.122,32.45
42.623,32.51
43.125,32.55
43.627,32.61
44.128,32.68
44.629,32.74
45.131,32.77
45.632,32.84
46.134,32.90
46.635,32.94
47.137,33.00
47.638,33.03
48.140,33.06
48.641,33.13
49.142,33.16
49.644,33.19
50.146,33.26
50.646,33.29
51.148,33.32
51.650,33.39
52.152,33.42
52.652,33.45
53.154,33.49
53.656,33.55
54.157,33.58
54.658,33.62
55.160,33.65
55.662,33.68
56.163,33.72
56.664,33.75
57.166,33.81
57.667,33.85
58.169,33.88
58.670,33.91
59.171,33.94
59.673,34.01
60.175,34.04
60.676,34.07
61.177,34.11
61.679,34.14
62.181,34.20
62.681,34.20
63.183,34.27
63.685,34.30
64.187,34.33
64.687,34.37
65.189,34.43
65.691,34.47
66.192,34.50
66.693,34.53
67.195,34.56
67.697,34.56
68.198,34.63
68.700,34.66
69.201,34.69
69.702,34.69
70.204,34.73
70.706,34.79
71.206,34.82
71.708,34.82
72.210,34.89
72.712,34.89
73.212,34.92
73.714,34.96
74.216,34.99
74.717,35.02
75.218,35.02
75.720,35.19
76.222,35.12
76.723,35.15
77.224,35.19
77.726,35.22
78.227,35.25
78.729,35.28
79.230,35.32
79.732,35.32
80.233,35.35
80.735,35.38
81.236,35.41
81.737,35.45
82.239,35.48
82.741,35.51
83.242,35.55
83.743,35.58
84.245,35.61
84.747,35.61
85.247,35.64
85.749,35.68
86.251,35.71
86.753,35.74
87.253,35.74
87.755,35.78
88.257,35.81
88.758,35.81
89.259,35.84
89.761,35.88
90.263,35.91
90.764,35.94
91.265,35.97
91.767,36.01
92.268,36.14
92.770,36.04
93.271,36.07
93.773,36.07
94.274,36.11
94.776,36.14
95.277,36.17
95.778,36.17
96.280,36.20
96.782,36.24
97.283,36.27
97.784,36.30
98.286,36.30
98.788,36.34
99.288,36.37
99.790,36.40
100.292,36.40
100.794,36.44
101.294,36.47
101.796,36.47
102.298,36.50
102.800,36.53
103.300,36.57
103.802,36.57
104.304,36.60
104.806,36.60
105.306,36.67
105.808,36.70
106.310,36.73
106.812,36.73
107.313,36.77
107.814,36.83
108.316,36.83
108.818,36.87
109.319,36.90
109.820,36.90
110.322,36.93
110.824,36.97
111.325,37.00
111.826,37.03
112.328,37.03
112.830,37.07
113.331,37.10
113.832,37.10
114.334,37.13
114.836,37.13
115.337,37.13
115.838,37.23
116.340,37.23
116.842,37.26
117.343,37.30
117.844,37.30
118.346,37.33
118.848,37.33
119.349,37.36
119.850,37.36
120.352,37.40
120.854,37.43
121.355,37.46
121.856,37.46
122.358,37.46
122.860,37.50
123.361,37.53
123.862,37.53
124.364,37.56
124.866,37.60
125.367,37.60
125.868,37.63
126.370,37.66
126.872,37.66
127.373,37.70
127.874,37.70
128.376,37.73
128.878,37.76
129.380,37.76
129.880,37.80
130.382,37.83
130.884,37.83
131.386,37.86
131.886,37.90
132.388,37.90
132.890,37.93
133.392,37.93
133.892,37.96
134.394,37.96
134.896,38.00
135.398,38.00
135.898,38.03
136.400,38.03
136.902,38.03
137.404,38.06
137.905,38.10
138.406,38.10
138.908,38.13
139.410,38.13
139.911,38.16
140.412,38.20
140.914,38.20
141.416,38.23
141.917,38.23
142.418,38.23
142.920,38.27
143.422,38.27
143.923,38.30
144.424,38.33
144.926,38.37
145.428,38.40
145.929,38.40
146.430,38.43
146.932,38.47
147.434,38.47
147.936,38.50
148.436,38.50
148.938,38.53
149.440,38.53
149.942,38.57
150.442,38.57
150.944,38.60
151.446,38.60
151.948,38.60
152.448,38.63
152.950,38.63
153.452,38.67
153.954,38.67
154.454,38.70
154.956,38.70
155.458,38.70
155.960,38.74
156.460,38.74
156.962,38.77
157.464,38.77
157.966,38.77
158.466,38.80
158.968,38.80
159.470,38.84
159.972,38.84
160.472,38.87
160.974,38.90
161.476,38.90
161.978,38.94
162.478,38.97
162.980,38.94
163.482,38.97
163.984,38.97
164.485,39.00
164.986,39.04
165.488,39.04
165.990,39.07
166.492,39.07
166.992,39.11
167.494,39.07
167.996,39.07
168.498,39.07
168.998,39.11
169.500,39.11
170.002,39.11
170.504,39.14
171.004,39.17
171.506,39.17
172.008,39.21
172.510,39.21
173.010,39.21
173.512,39.24
174.014,39.24
174.516,39.24
175.016,39.27
175.518,39.27
176.020,39.31
176.522,39.31
177.022,39.31
177.524,39.34
178.026,39.38
178.528,39.34
179.028,39.38
179.530,39.38
180.032,39.41
180.534,39.41
181.035,39.55
181.536,39.44
182.038,39.44
182.540,39.48
183.041,39.48
183.542,39.48
184.044,39.51
184.546,39.51
185.047,39.51
185.548,39.55
186.050,39.55
186.552,39.55
187.053,39.58
187.554,39.61
188.056,39.61
188.558,39.61
189.059,39.65
189.560,39.65
190.062,39.65
190.564,39.68
191.065,39.68
191.566,39.68
192.068,39.71
192.570,39.75
193.071,39.75
193.573,39.75
194.074,39.78
194.576,39.78
195.077,39.78
195.579,39.78
196.080,39.78
196.582,39.78
197.084,39.82
197.585,39.82
198.086,39.82
198.588,39.82
199.090,39.82
199.591,39.82
200.092,39.85
200.594,39.85
201.096,39.85
201.597,39.88
202.098,39.88
202.600,39.88
203.102,39.88
203.603,39.92
204.104,39.92
204.606,39.92
205.108,39.95
205.609,39.95
206.111,39.95
206.612,39.99
207.114,39.99
207.615,39.99
208.117,40.02
208.618,40.02
209.120,40.05
209.621,40.09
210.123,40.09
210.624,40.09
211.126,40.12
211.627,40.12
212.129,40.16
212.630,40.19
213.132,40.19
213.633,40.19
214.135,40.22
214.636,40.22
215.138,40.26
215.639,40.26
216.141,40.26
216.643,40.26
217.144,40.29
217.645,40.29
218.147,40.29
218.649,40.29
219.150,40.33
219.651,40.36
220.153,40.40
220.655,40.40
221.156,40.43
221.657,40.43
222.159,40.46
222.661,40.46
223.163,40.46
223.663,40.46
224.165,40.46
224.667,40.46
225.169,40.46
225.669,40.50
226.171,40.50
226.673,40.50
227.175,40.50
227.676,40.53
228.177,40.53
228.679,40.57
229.181,40.57
229.682,40.60
230.183,40.60
230.685,40.63
231.187,40.63
231.689,40.63
232.189,40.63
232.691,40.67
233.193,40.67
233.695,40.67
234.195,40.70
234.697,40.70
235.199,40.70
235.701,40.70
236.201,40.70
236.703,40.74
237.205,40.70
237.707,40.70
238.208,40.70
238.709,40.70
239.211,40.70
239.713,40.74
240.214,40.74
240.715,40.74
241.217,40.77
241.719,40.77
242.220,40.77
242.721,40.81
243.223,40.81
243.725,40.84
244.226,40.84
244.728,40.84
245.229,40.84
245.731,40.87
246.232,40.87
246.734,40.87
247.235,40.91
247.737,40.91
248.238,40.94
248.740,40.91
249.241,40.94
249.743,40.94
250.244,40.94
250.746,40.94
251.248,40.94
251.749,40.94
252.250,40.98
252.752,40.98
253.254,40.98
253.755,40.98
254.257,40.98
254.758,41.01
255.260,41.01
255.761,41.01
256.263,41.05
256.764,41.05
257.266,41.05
257.768,41.05
258.269,41.05
258.770,41.05
259.272,41.08
259.774,41.08
260.275,41.08
260.776,41.08
261.278,41.08
261.780,41.08
262.281,41.12
262.782,41.12
263.284,41.12
263.786,41.12
264.287,41.15
264.788,41.15
265.290,41.15
265.792,41.15
266.294,41.15
266.794,41.18
267.296,41.18
267.798,41.18
268.300,41.18
268.800,41.18
269.302,41.18
269.804,41.22
270.306,41.22
270.806,41.25
271.308,41.25
271.810,41.25
272.312,41.29
272.812,41.29
273.314,41.29
273.816,41.32
274.318,41.32
274.819,41.32
275.320,41.36
275.822,41.36
276.324,41.36
276.825,41.36
277.326,41.39
277.828,41.39
278.330,41.36
278.831,41.39
279.332,41.39
279.834,41.39
280.336,41.39
280.837,41.39
281.339,41.39
281.840,41.39
282.342,41.43
282.844,41.43
283.345,41.43
283.846,41.43
284.348,41.43
284.850,41.43
285.351,41.46
285.852,41.46
286.354,41.46
286.856,41.46
287.357,41.46
287.859,41.46
288.360,41.46
288.862,41.46
289.363,41.46
289.865,41.49
290.366,41.49
290.868,41.49
291.369,41.53
291.871,41.53
292.372,41.53
292.874,41.53
293.375,41.53
293.877,41.53
294.379,41.56
294.880,41.56
295.381,41.56
295.883,41.56
296.385,41.60
296.886,41.60
297.387,41.60
297.889,41.60
298.391,41.60
298.893,41.60
299.393,41.63
299.895,41.63
300.397,41.63
300.899,41.67
301.399,41.67
301.901,41.67
302.403,41.70
302.905,41.67
303.406,41.70
303.907,41.70
304.409,41.70
304.911,41.70
305.412,41.70
305.913,41.70
306.415,41.70
306.917,41.70
307.418,41.74
307.919,41.74
308.421,41.74
308.923,41.74
309.425,41.74
309.926,41.74
310.427,41.77
310.929,41.77
311.431,41.77
311.932,41.81
312.434,41.81
312.935,41.81
313.437,41.81
313.938,41.81
314.440,41.84
314.941,41.81
315.443,41.84
315.944,41.84
316.446,41.84
316.948,41.84
317.449,41.84
317.950,41.88
318.452,41.84
318.954,41.88
319.455,41.98
319.956,41.88
320.458,41.88
320.960,41.88
321.462,41.88
321.962,41.88
322.464,41.88
322.966,41.91
323.468,41.91
323.968,41.88
324.470,41.91
324.972,41.91
325.474,41.91
325.975,41.91
326.476,41.91
326.978,41.91
327.480,41.94
327.981,41.94
328.482,41.94
328.984,41.94
329.486,41.94
329.987,41.94
330.488,41.94
330.990,41.94
331.492,41.94
331.993,41.94
332.495,41.98
332.996,41.98
333.498,41.98
333.999,41.98
334.501,41.98
335.002,41.98
335.504,41.98
336.005,41.98
336.507,41.98
337.009,41.98
337.510,42.01
338.012,42.01
338.513,42.05
339.015,42.01
339.516,42.05
340.018,42.05
340.519,42.05
341.021,42.05
341.522,42.05
342.024,42.05
342.525,42.08
343.027,42.08
343.528,42.08
344.030,42.08
344.531,42.08
345.033,42.08
345.535,42.08
346.036,42.12
346.537,42.08
347.039,42.08
347.541,42.08
348.042,42.08
348.543,42.08
349.045,42.12
349.547,42.08
350.048,42.08
350.549,42.08
351.051,42.12
351.553,42.08
352.055,42.12
