temps_s,T1_C,T2_C,T3_C
0.000,27.01,27.03,26.81
0.503,26.91,27.03,26.81
1.007,26.84,27.00,26.81
1.510,26.73,27.00,26.81
2.014,26.66,27.00,26.81
2.516,26.56,26.97,26.81
3.020,26.49,26.97,26.81
3.523,26.42,26.94,26.81
4.027,26.32,26.94,26.81
4.530,26.25,26.91,26.81
5.032,26.18,26.91,26.81
5.536,26.11,26.87,26.81
6.039,26.04,26.87,26.81
6.543,25.97,26.84,26.81
7.045,25.90,26.81,26.81
7.549,25.83,26.81,26.81
8.052,25.76,26.78,26.81
8.556,25.72,26.74,26.81
9.059,25.65,26.71,26.81
9.562,25.58,26.71,26.81
10.065,25.55,26.68,26.81
10.569,25.48,26.65,26.81
11.072,25.41,26.65,26.81
11.576,25.37,26.61,26.81
12.078,25.30,26.58,26.81
12.582,25.27,26.55,26.78
13.085,25.20,26.52,26.78
13.589,25.16,26.52,26.78
14.092,25.09,26.49,26.78
14.595,25.06,26.45,26.78
15.098,24.99,26.42,26.74
15.602,24.95,26.39,26.74
16.105,24.92,26.39,26.74
16.609,24.85,26.36,26.71
17.111,24.81,26.32,26.71
17.615,24.78,26.29,26.71
18.118,24.71,26.26,26.71
18.622,24.67,26.26,26.67
19.125,24.64,26.23,26.67
19.628,24.60,26.19,26.67
20.131,24.57,26.16,26.64
20.635,24.49,26.13,26.64
21.138,24.46,26.13,26.64
21.642,24.42,26.10,26.60
22.144,24.39,26.06,26.60
22.648,24.35,26.03,26.60
23.151,24.32,26.00,26.57
23.655,24.28,26.00,26.57
24.158,24.25,25.97,26.53
24.661,24.18,25.93,26.53
25.164,24.14,25.90,26.53
25.668,24.11,25.87,26.50
26.171,24.07,25.84,26.50
26.675,24.04,25.81,26.50
27.177,24.00,25.81,26.46
27.681,23.97,25.77,26.46
28.184,23.93,25.74,26.46
28.688,23.90,25.71,26.43
29.191,23.90,25.68,26.43
29.694,23.83,25.68,26.39
30.197,23.83,25.64,26.39
30.701,23.79,25.61,26.39
31.204,23.75,25.58,26.36
31.708,23.72,25.58,26.36
32.210,23.68,25.55,26.32
32.714,23.65,25.51,26.32
33.218,23.61,25.48,26.29
33.721,23.61,25.45,26.25
34.225,23.58,25.45,26.25
34.727,23.54,25.42,26.22
35.231,23.51,25.38,26.22
35.734,23.47,25.35,26.18
36.238,23.44,25.32,26.18
36.740,23.40,25.32,26.15
37.244,23.40,25.29,26.12
37.747,23.37,25.25,26.12
38.251,23.33,25.25,26.08
38.754,23.29,25.22,26.08
39.257,23.29,25.19,26.05
39.760,23.26,25.19,26.05
40.264,23.22,25.16,26.01
40.767,23.19,25.12,25.98
41.271,23.19,25.09,25.98
41.773,23.15,25.09,25.94
42.277,23.12,25.06,25.94
42.780,23.12,25.03,25.91
43.284,23.08,25.03,25.91
43.787,23.05,24.99,25.87
44.290,23.05,24.96,25.87
44.793,23.01,24.96,25.84
45.297,22.98,24.93,25.84
45.800,22.94,24.89,25.80
46.304,22.94,24.86,25.77
46.806,22.90,24.86,25.77
47.310,22.87,24.83,25.73
47.813,22.87,24.80,25.73
48.317,22.83,24.80,25.70
48.820,22.83,24.76,25.70
49.323,22.80,24.76,25.66
49.826,22.76,24.73,25.66
50.330,22.76,24.70,25.63
50.833,22.73,24.70,25.63
51.337,22.73,24.67,25.59
51.839,22.69,24.67,25.56
52.343,22.66,24.63,25.56
52.846,22.66,24.60,25.52
53.350,22.62,24.60,25.52
53.853,22.62,24.57,25.49
54.356,22.58,24.54,25.49
54.859,22.58,24.54,25.45
55.363,22.55,24.50,25.42
55.866,22.55,24.50,25.42
56.370,22.51,24.47,25.38
56.872,22.48,24.44,25.38
57.376,22.48,24.44,25.35
57.879,22.44,24.40,25.35
58.383,22.44,24.40,25.31
58.885,22.41,24.37,25.31
59.389,22.41,24.37,25.28
59.892,22.37,24.34,25.28
60.396,22.37,24.34,25.24
60.899,22.33,24.31,25.24
61.402,22.33,24.27,25.21
61.905,22.30,24.27,25.21
62.409,22.30,24.24,25.17
62.912,22.26,24.24,25.17
63.416,22.23,24.21,25.14
63.919,22.23,24.18,25.14
64.422,22.19,24.18,25.10
64.926,22.19,24.14,25.07
65.429,22.16,24.14,25.07
65.933,22.16,24.11,25.03
66.435,22.16,24.11,25.03
66.939,22.12,24.08,25.00
67.442,22.12,24.08,25.00
67.946,22.08,24.04,24.96
68.449,22.08,24.04,24.96
68.952,22.05,24.01,24.93
69.455,22.05,24.01,24.89
69.959,22.05,23.98,24.89
70.462,22.01,23.95,24.85
70.966,22.01,23.95,24.85
71.468,21.98,23.91,24.82
71.972,21.98,23.91,24.82
72.475,21.94,23.88,24.78
72.979,21.94,23.88,24.78
73.482,21.91,23.85,24.75
73.985,21.91,23.85,24.75
74.488,21.91,23.82,24.71
74.992,21.87,23.82,24.71
75.495,21.87,23.78,24.68
75.999,21.83,23.78,24.68
76.501,21.80,23.75,24.64
77.005,21.80,23.75,24.61
77.508,21.80,23.72,24.61
78.012,21.76,23.72,24.57
78.515,21.76,23.68,24.57
79.018,21.76,23.68,24.54
79.521,21.73,23.65,24.54
80.025,21.73,23.65,24.50
80.528,21.69,23.62,24.50
