Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
1.4239585399627686,30,0.0,19.35,19.67,19.89,,19.89,10.0,12911.04,12752.57,12413.48
1.9419348239898682,30,0.0,19.39,19.67,19.89,,19.89,10.0,12911.04,12732.38,12413.48
2.600618600845337,30,0.0,19.39,19.71,19.89,,19.89,10.0,12881.18,12732.38,12413.48
3.142454147338867,30,0.0,19.48,19.71,19.89,,19.89,10.0,12851.42,12732.38,12413.48
3.6867222785949707,30,0.0,19.52,19.71,19.89,,19.89,10.0,12821.75,12712.24,12413.48
4.215862989425659,30,0.0,19.61,19.74,19.89,,19.89,10.0,12762.7,12712.24,12413.48
4.700452089309692,30,0.0,19.7,19.74,19.89,,19.89,10.0,12704.03,12712.24,12413.48
5.256294250488281,30,0.0,19.79,19.74,19.89,,19.89,10.0,12645.74,12692.14,12413.48
5.799485206604004,30,0.0,19.88,19.77,19.89,,19.89,10.0,12587.81,12692.14,12413.48
6.344401121139526,30,0.0,19.97,19.77,19.89,,19.89,10.0,12530.25,12692.14,12413.48
6.872411012649536,30,0.0,20.06,19.81,19.89,,19.89,10.0,12473.05,12672.08,12413.48
7.417751789093018,30,0.0,20.15,19.81,19.89,,19.89,10.0,12416.22,12672.08,12413.48
7.90282416343689,30,0.0,20.24,19.81,19.89,,19.89,10.0,12359.74,12652.07,12413.48
8.448057651519775,30,0.0,20.33,19.84,19.89,,19.89,10.0,12303.61,12652.07,12413.48
8.960412502288818,30,0.0,20.42,19.88,19.89,,19.89,10.0,12247.83,12652.07,12413.48
9.422731876373291,30,0.0,20.51,19.88,19.89,,19.89,10.0,12192.4,12632.1,12413.48
9.895383358001709,30,0.0,20.6,19.91,19.89,,19.89,10.0,12164.81,12632.1,12413.48
10.395990371704102,30,0.0,20.64,19.91,19.93,,19.93,10.0,12109.89,12612.18,12394.03
10.893005132675171,30,0.0,20.73,19.94,19.93,,19.93,10.0,12055.31,12592.3,12394.03
11.393959760665894,30,0.0,20.82,19.98,19.93,,19.93,10.0,12001.07,12592.3,12394.03
11.87518835067749,30,0.0,20.87,19.98,19.93,,19.93,10.0,11974.07,12572.46,12394.03
12.389829158782959,30,0.0,20.96,20.01,19.93,,19.93,10.0,11920.33,12552.67,12394.03
12.92633581161499,30,0.0,21.0,20.01,19.93,,19.93,10.0,11893.58,12552.67,12394.03
