Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
30.772005796432495,20.0,0.0,28.74,27.65,27.72,,27.72,10.0,8238.34,8890.82,8940.2
31.270673990249634,20.0,0.0,28.74,27.65,27.72,,27.72,10.0,8238.34,8890.82,8940.2
31.770693063735962,20.0,0.0,28.74,27.65,27.68,,27.68,10.0,8238.34,8890.82,8952.9
32.26712369918823,20.0,0.0,28.74,27.65,27.68,,27.68,10.0,8238.34,8890.82,8952.9
32.779860973358154,20.0,0.0,28.79,27.65,27.68,,27.68,10.0,8238.34,8890.82,8952.9
33.28104639053345,20.0,0.0,28.79,27.65,27.68,,27.68,10.0,8221.65,8890.82,8952.9
33.7790641784668,20.0,0.0,28.79,27.65,27.65,,27.65,10.0,8221.65,8890.82,8965.62
34.277371406555176,20.0,0.0,28.79,27.65,27.65,,27.65,10.0,8221.65,8890.82,8965.62
34.77436113357544,20.0,0.0,28.79,27.65,27.65,,27.65,10.0,8221.65,8890.82,8965.62
35.27334475517273,20.0,0.0,28.79,27.65,27.65,,27.65,10.0,8221.65,8890.82,8965.62
35.772499084472656,20.0,0.0,28.79,27.65,27.65,,27.65,10.0,8221.65,8890.82,8965.62
36.28807306289673,20.0,0.0,28.79,27.65,27.65,,27.65,10.0,8221.65,8890.82,8965.62
36.78348636627197,20.0,0.0,28.83,27.65,27.61,,27.61,10.0,8205.0,8890.82,8978.36
37.28359937667847,20.0,0.0,28.83,27.65,27.61,,27.61,10.0,8205.0,8890.82,8978.36
37.78521656990051,20.0,0.0,28.83,27.65,27.61,,27.61,10.0,8205.0,8890.82,8978.36
38.28242802619934,20.0,0.0,28.83,27.65,27.61,,27.61,10.0,8205.0,8890.82,8978.36
38.78335499763489,20.0,0.0,28.83,27.65,27.61,,27.61,10.0,8205.0,8890.82,8978.36
39.28495216369629,20.0,0.0,28.83,27.65,27.61,,27.61,10.0,8205.0,8890.82,8978.36
39.78638434410095,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8890.82,8978.36
40.28731632232666,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8903.43,8991.12
40.78595781326294,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8890.82,8991.12
41.30192232131958,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8890.82,8991.12
41.80147743225098,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8890.82,8991.12
42.29750418663025,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8890.82,8991.12
42.796783685684204,20.0,0.0,28.88,27.65,27.58,,27.58,10.0,8188.38,8890.82,8991.12
43.29495549201965,20.0,0.0,28.83,27.65,27.58,,27.58,10.0,8205.0,8890.82,8991.12
43.80862832069397,20.0,0.0,28.88,27.65,27.58,,27.58,10.0,8188.38,8890.82,8991.12
44.30598711967468,20.0,0.0,28.88,27.65,27.58,,27.58,10.0,8188.38,8890.82,8991.12
44.80540704727173,20.0,0.0,28.88,27.65,27.58,,27.58,10.0,8188.38,8890.82,8991.12
45.30295538902283,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
45.801833629608154,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
46.31386637687683,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
46.81294226646423,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
47.313828468322754,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
47.81254291534424,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
48.31034278869629,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
48.810823917388916,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
49.309645891189575,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
49.824981927871704,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
50.31863260269165,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
50.815040826797485,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
51.326805114746094,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
51.82601857185364,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9003.91
52.34390926361084,20.0,0.0,28.88,27.65,27.54,,27.54,10.0,8188.38,8890.82,9016.72
52.82583498954773,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
53.32560181617737,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
53.821152448654175,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
54.334877490997314,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
54.834858417510986,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8903.43,9016.72
55.33229732513428,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
55.830408334732056,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
56.328954219818115,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
56.82815623283386,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8903.43,9016.72
57.34195375442505,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8903.43,9016.72
57.84102654457092,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8903.43,9016.72
58.343066692352295,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8903.43,9016.72
58.84447956085205,20.0,0.0,28.88,27.61,27.51,,27.51,10.0,8188.38,8890.82,9016.72
59.34097623825073,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
59.83810830116272,20.0,0.0,28.88,27.61,27.51,,27.51,10.0,8188.38,8890.82,9016.72
60.35135006904602,20.0,0.0,28.92,27.61,27.51,,27.51,10.0,8188.38,8890.82,9016.72
60.84796643257141,20.0,0.0,28.88,27.65,27.51,,27.51,10.0,8188.38,8890.82,9016.72
61.35010814666748,20.0,0.0,28.92,27.65,27.51,,27.51,10.0,8188.38,8903.43,9016.72
61.83907699584961,20.0,0.0,28.92,27.61,27.51,,27.51,10.0,8171.81,8903.43,9016.72
62.37965106964111,20.0,0.0,28.92,27.61,27.51,,27.51,10.0,8171.81,8903.43,9016.72
62.906551122665405,20.0,0.0,28.92,27.61,27.51,,27.51,10.0,8171.81,8903.43,9016.72
63.387237548828125,20.0,0.0,28.92,27.61,27.51,,27.51,10.0,8171.81,8903.43,9016.72
64.0049819946289,20.0,0.0,28.92,27.61,27.51,,27.51,10.0,8171.81,8903.43,9016.72
64.56256628036499,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9016.72
65.09068322181702,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
65.58860898017883,20.0,0.0,28.92,27.65,27.47,,27.47,10.0,8171.81,8903.43,9029.55
66.06984353065491,20.0,0.0,28.92,27.65,27.47,,27.47,10.0,8171.81,8890.82,9029.55
66.56914925575256,20.0,0.0,28.92,27.65,27.47,,27.47,10.0,8171.81,8903.43,9029.55
67.06811189651489,20.0,0.0,28.92,27.65,27.47,,27.47,10.0,8171.81,8903.43,9029.55
67.56763362884521,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
68.05662035942078,20.0,0.0,28.92,27.65,27.47,,27.47,10.0,8171.81,8890.82,9029.55
68.59192776679993,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
69.11808323860168,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
69.66459631919861,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
70.18942427635193,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
70.70607399940491,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9029.55
71.2560362815857,20.0,0.0,28.92,27.61,27.47,,27.47,10.0,8171.81,8903.43,9042.4
71.80276417732239,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9029.55
72.33142900466919,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
72.8623788356781,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
73.39168381690979,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
73.89392948150635,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
74.48229622840881,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
74.99883008003235,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
75.53760862350464,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
76.05624198913574,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
76.55200695991516,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
77.10104966163635,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
77.58318519592285,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
78.13045239448547,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
78.69224095344543,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
79.2388391494751,20.0,0.0,28.92,27.61,27.44,,27.44,10.0,8171.81,8903.43,9042.4
