Temps (s),Consigne (°C),Erreur (°C),Thermistance 1 - T1 (°C),Thermistance 2 - T2 (°C),Thermistance 3 - T3 (°C),T4',Thermistance 3 estimée - T3_moy (°C),Commande (PWM),R1,R,R3
1.4292383193969727,20.0,0.0,24.94,25.58,25.94,,25.94,10.0,9821.55,9744.73,9631.21
1.9265882968902588,20.0,0.0,24.94,25.58,25.91,,25.91,10.0,9821.55,9744.73,9631.21
2.3909108638763428,20.0,0.0,24.94,25.55,25.91,,25.91,10.0,9821.55,9758.87,9631.21
2.858625650405884,20.0,0.0,24.98,25.55,25.87,,25.87,10.0,9800.82,9758.87,9645.15
3.323981285095215,20.0,0.0,25.03,25.55,25.87,,25.87,10.0,9780.15,9758.87,9645.15
3.8010165691375732,20.0,0.0,25.07,25.51,25.87,,25.87,10.0,9759.53,9773.04,9645.15
4.254317283630371,20.0,0.0,25.12,25.51,25.84,,25.84,10.0,9738.97,9773.04,9659.11
4.709611415863037,20.0,0.0,25.21,25.51,25.84,,25.84,10.0,9698.0,9773.04,9659.11
5.19691014289856,20.0,0.0,25.25,25.48,25.84,,25.84,10.0,9677.61,9787.23,9659.11
5.700626611709595,20.0,0.0,25.34,25.48,25.8,,25.8,10.0,9636.97,9787.23,9673.09
6.201067209243774,20.0,0.0,25.39,25.48,25.8,,25.8,10.0,9616.74,9787.23,9673.09
6.69998836517334,20.0,0.0,25.48,25.45,25.8,,25.8,10.0,9576.42,9801.45,9673.09
7.200838804244995,20.0,0.0,25.52,25.45,25.8,,25.8,10.0,9556.35,9801.45,9687.1
7.701521873474121,20.0,0.0,25.61,25.45,25.77,,25.77,10.0,9536.33,9801.45,9687.1
8.201780557632446,20.0,0.0,25.66,25.45,25.77,,25.77,10.0,9496.44,9801.45,9687.1
8.70314645767212,20.0,0.0,25.7,25.45,25.77,,25.77,10.0,9476.58,9801.45,9687.1
9.20374059677124,20.0,0.0,25.74,25.45,25.73,,25.73,10.0,9456.76,9801.45,9701.14
9.701359748840332,20.0,0.0,25.83,25.42,25.73,,25.73,10.0,9417.29,9815.7,9701.14
10.207176685333252,20.0,0.0,25.83,25.42,25.73,,25.73,10.0,9397.64,9815.7,9701.14
10.709010124206543,20.0,0.0,25.88,25.42,25.7,,25.7,10.0,9378.03,9815.7,9701.14
11.208513259887695,20.0,0.0,25.97,25.42,25.7,,25.7,10.0,9378.03,9815.7,9715.2
11.708028078079224,20.0,0.0,26.01,25.42,25.7,,25.7,10.0,9358.48,9815.7,9715.2
12.213994026184082,20.0,0.0,26.01,25.42,25.7,,25.7,10.0,9338.97,9815.7,9715.2
12.71054196357727,20.0,0.0,26.06,25.42,25.66,,25.66,10.0,9319.52,9815.7,9729.29
13.225080728530884,20.0,0.0,26.1,25.42,25.66,,25.66,10.0,9300.12,9815.7,9729.29
13.721594333648682,20.0,0.0,26.15,25.42,25.66,,25.66,10.0,9280.76,9815.7,9729.29
14.222643613815308,20.0,0.0,26.19,25.45,25.66,,25.66,10.0,9261.46,9815.7,9729.29
14.740336179733276,20.0,0.0,26.19,25.45,25.66,,25.66,10.0,9261.46,9801.45,9729.29
15.225354433059692,20.0,0.0,26.24,25.45,25.63,,25.63,10.0,9242.21,9801.45,9743.4
15.724830389022827,20.0,0.0,26.28,25.45,25.63,,25.63,10.0,9223.01,9801.45,9743.4
16.22497534751892,20.0,0.0,26.33,25.45,25.63,,25.63,10.0,9203.86,9801.45,9743.4
16.72356152534485,20.0,0.0,26.33,25.45,25.63,,25.63,10.0,9203.86,9801.45,9743.4
17.23607611656189,20.0,0.0,26.37,25.45,25.59,,25.59,10.0,9184.76,9801.45,9757.54
17.736217260360718,20.0,0.0,26.42,25.45,25.59,,25.59,10.0,9165.7,9801.45,9757.54
18.235154628753662,20.0,0.0,26.42,25.48,25.59,,25.59,10.0,9165.7,9787.23,9757.54
18.735344171524048,20.0,0.0,26.46,25.48,25.59,,25.59,10.0,9146.7,9787.23,9757.54
19.232794523239136,20.0,0.0,26.46,25.48,25.59,,25.59,10.0,9127.74,9787.23,9757.54
